;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
120;120;*Groot-Brittannië;2002;345;6;0;134;158;25
121;121;*Groot-Brittannië;2003;371;14;25;155;142;35
122;122;*Groot-Brittannië;2004;273;8;0;158;0;20
123;123;*Groot-Brittannië;2005;240;18;0;98;0;31
124;124;*Groot-Brittannië;2006;272;4;0;126;0;38
125;125;*Groot-Brittannië;2007;322;20;28;168;83;24
126;126;*Groot-Brittannië;2008;226;7;0;99;0;25
127;127;*Groot-Brittannië;2009;272;11;22;155;58;26
128;128;*Groot-Brittannië;2010;307;8;26;184;60;29
129;129;*Groot-Brittannië;2011;313;13;38;133;114;15
130;130;*Groot-Brittannië;2012;306;0;0;0;0;0
131;131;*Groot-Brittannië;2013;0;0;0;0;0;0
132;132;*Groot-Brittannië;2014;0;0;0;0;0;0
133;133;*Groot-Brittannië;2015;0;0;0;0;0;0
134;134;*Groot-Brittannië;2016;0;0;0;0;0;0
135;135;*Noorwegen;2002;14;1;0;10;0;3
136;136;*Noorwegen;2003;21;0;0;16;0;5
137;137;*Noorwegen;2004;12;0;0;7;0;4
138;138;*Noorwegen;2005;3;0;0;3;0;0
139;139;*Noorwegen;2006;25;0;0;20;0;5
140;140;*Noorwegen;2007;16;3;0;11;1;1
141;141;*Noorwegen;2008;23;0;0;19;0;4
142;142;*Noorwegen;2009;15;0;0;15;0;0
143;143;*Noorwegen;2010;38;2;0;36;0;0
144;144;*Noorwegen;2011;45;0;2;40;0;2
145;145;*Noorwegen;2012;46;0;0;0;0;0
146;146;*Noorwegen;2013;0;0;0;0;0;0
147;147;*Noorwegen;2014;0;0;0;0;0;0
148;148;*Noorwegen;2015;0;0;0;0;0;0
149;149;*Noorwegen;2016;0;0;0;0;0;0
150;150;*Denemarken;2002;10;3;0;2;0;4
151;151;*Denemarken;2003;23;2;0;2;0;16
152;152;*Denemarken;2004;42;3;0;10;0;29
153;153;*Denemarken;2005;27;6;0;10;0;7
154;154;*Denemarken;2006;15;0;0;7;0;6
155;155;*Denemarken;2007;24;0;0;15;0;9
156;156;*Denemarken;2008;29;6;0;13;0;9
157;157;*Denemarken;2009;17;4;0;4;2;3
158;158;*Denemarken;2010;22;6;0;5;2;9
159;159;*Denemarken;2011;32;12;1;17;0;2
160;160;*Denemarken;2012;29;0;0;0;0;0
161;161;*Denemarken;2013;0;0;0;0;0;0
162;162;*Denemarken;2014;0;0;0;0;0;0
163;163;*Denemarken;2015;0;0;0;0;0;0
164;164;*Denemarken;2016;0;0;0;0;0;0
165;165;*Duitsland;2002;983;193;43;7;78;663
166;166;*Duitsland;2003;931;259;69;4;63;536
167;167;*Duitsland;2004;1029;302;48;14;83;582
168;168;*Duitsland;2005;990;268;86;24;53;559
169;169;*Duitsland;2006;937;292;48;38;68;491
170;170;*Duitsland;2007;1213;285;80;27;111;711
171;171;*Duitsland;2008;1118;340;44;8;53;674
172;172;*Duitsland;2009;1456;510;70;34;129;714
173;173;*Duitsland;2010;1132;429;43;38;77;544
174;174;*Duitsland;2011;1251;615;72;31;97;436
175;175;*Duitsland;2012;1318;594;80;65;115;464
176;176;*Duitsland;2013;1280;648;33;38;116;444
177;177;*Duitsland;2014;1271;664;57;27;74;450
178;178;*Duitsland;2015;1411;733;60;46;99;474
179;179;*Duitsland;2016;1444;788;30;58;117;451
180;180;*Italië;2002;43;0;0;34;0;8
181;181;*Italië;2003;53;7;0;35;0;4
182;182;*Italië;2004;42;0;0;41;0;1
183;183;*Italië;2005;46;0;0;37;0;4
184;184;*Italië;2006;41;0;0;36;0;5
185;185;*Italië;2007;48;0;0;48;0;0
186;186;*Italië;2008;67;0;0;67;0;0
187;187;*Italië;2009;73;3;0;62;0;7
188;188;*Italië;2010;95;4;0;91;0;0
189;189;*Italië;2011;82;0;0;78;0;4
190;190;*Italië;2012;94;0;0;0;0;0
191;191;*Italië;2013;0;0;0;0;0;0
192;192;*Italië;2014;0;0;0;0;0;0
193;193;*Italië;2015;0;0;0;0;0;0
194;194;*Italië;2016;0;0;0;0;0;0
195;195;*Griekenland;2002;2;0;0;2;0;0
196;196;*Griekenland;2003;0;0;0;0;0;0
197;197;*Griekenland;2004;8;0;0;8;0;0
198;198;*Griekenland;2005;5;0;0;5;0;0
199;199;*Griekenland;2006;4;0;0;0;0;4
200;200;*Griekenland;2007;5;0;0;5;0;0
201;201;*Griekenland;2008;1;0;0;1;0;0
202;202;*Griekenland;2009;0;0;0;0;0;0
203;203;*Griekenland;2010;3;0;0;3;0;0
204;204;*Griekenland;2011;0;0;0;0;0;0
205;205;*Griekenland;2012;8;0;0;0;0;0
206;206;*Griekenland;2013;0;0;0;0;0;0
207;207;*Griekenland;2014;0;0;0;0;0;0
208;208;*Griekenland;2015;0;0;0;0;0;0
209;209;*Griekenland;2016;0;0;0;0;0;0
210;210;*Hongarije;2002;5;0;0;3;0;2
211;211;*Hongarije;2003;4;0;0;4;0;0
212;212;*Hongarije;2004;10;2;0;3;0;5
213;213;*Hongarije;2005;14;1;0;6;0;7
214;214;*Hongarije;2006;11;0;0;7;0;4
215;215;*Hongarije;2007;2;0;0;2;0;0
216;216;*Hongarije;2008;6;0;0;4;0;0
217;217;*Hongarije;2009;13;0;0;10;0;3
218;218;*Hongarije;2010;16;0;0;16;0;0
219;219;*Hongarije;2011;24;0;0;19;0;5
220;220;*Hongarije;2012;25;0;0;0;0;0
221;221;*Hongarije;2013;0;0;0;0;0;0
222;222;*Hongarije;2014;0;0;0;0;0;0
223;223;*Hongarije;2015;0;0;0;0;0;0
224;224;*Hongarije;2016;0;0;0;0;0;0
225;225;*Tsjechië;2002;28;5;0;13;0;8
226;226;*Tsjechië;2003;23;11;0;4;5;3
227;227;*Tsjechië;2004;25;7;0;4;0;8
228;228;*Tsjechië;2005;32;3;0;19;0;6
229;229;*Tsjechië;2006;9;0;0;0;0;1
