"ID";"Vakantiekenmerken";"Perioden";"Totaal_1";"Auto_2";"TreinAutoslaaptrein_3";"Touringcar_4";"Vliegtuig_5";"OverigeVervoermiddelen_6";"GeorganiseerdeReisPerAuto_7";"GeorganiseerdeReisPerTouringcar_8";"GeorganiseerdeReisPerVliegtuig_9";"GeorganiseerdeReisMetOverigVervoer_10";"NietGeorganiseerdeReizen_11"
"48";"113";"2005JJ00";"    2169";"    1896";"      95";"     105";"      56";"      18";"     695";"     105";"      51";"      97";"    1223"
"49";"113";"2006JJ00";"    2192";"    1921";"      73";"     120";"      60";"      18";"     740";"     120";"      59";"      82";"    1191"
"50";"113";"2007JJ00";"    2094";"    1852";"      73";"      81";"      63";"      25";"     682";"      79";"      56";"      78";"    1199"
"51";"113";"2008JJ00";"    2373";"    2037";"     116";"     107";"      87";"      25";"     752";"     107";"      87";"     126";"    1299"
"52";"113";"2009JJ00";"    2290";"    2011";"      76";"     110";"      74";"      18";"     749";"     110";"      74";"      88";"    1269"
"53";"113";"2010JJ00";"    2322";"    2049";"      79";"      97";"      78";"      19";"     746";"      97";"      78";"      77";"    1323"
"54";"113";"2011JJ00";"    2452";"    2156";"      80";"      63";"     114";"      39";"     888";"      62";"     103";"      95";"    1303"
"55";"113";"2012JJ00";"    2266";"    2041";"      63";"      52";"      91";"      19";"     845";"      52";"      89";"      82";"    1198"
"56";"113";"2013JJ00";"    2239";"    1972";"      61";"      71";"     112";"      23";"     772";"      71";"     110";"      70";"    1216"
"57";"113";"2014JJ00";"    2105";"    1852";"      51";"      65";"     105";"      32";"     683";"      65";"      91";"      72";"    1194"
"58";"113";"2015JJ00";"    2189";"    1924";"      56";"      92";"     105";"      11";"     855";"      92";"      96";"      64";"    1081"
"59";"113";"2016JJ00";"    2155";"    1913";"      32";"      60";"     131";"      20";"     787";"      60";"     111";"      37";"    1160"
"60";"114";"2002JJ00";"    1641";"     331";"       4";"     212";"    1058";"      36";"     114";"     212";"    1046";"      20";"     250"
"61";"114";"2003JJ00";"    1600";"     323";"       0";"     209";"    1038";"      30";"      73";"     209";"    1032";"      22";"     263"
"62";"114";"2004JJ00";"    1477";"     265";"       7";"     150";"    1034";"      22";"     100";"     150";"    1026";"      29";"     173"
"63";"114";"2005JJ00";"    1574";"     273";"       0";"     157";"    1108";"      35";"     111";"     157";"    1085";"      32";"     189"
"64";"114";"2006JJ00";"    1454";"     223";"       5";"     135";"    1079";"      12";"      77";"     132";"    1070";"      14";"     161"
"65";"114";"2007JJ00";"    1513";"     222";"       0";"     158";"    1111";"      23";"      97";"     158";"    1099";"      18";"     142"
"66";"114";"2008JJ00";"    1732";"     282";"       0";"     157";"    1279";"      14";"     108";"     155";"    1255";"      14";"     200"
"67";"114";"2009JJ00";"    1456";"     205";"       4";"     120";"    1116";"      11";"      84";"     120";"    1090";"      11";"     151"
"68";"114";"2010JJ00";"    1498";"     248";"       8";"     117";"    1108";"      17";"      87";"     117";"    1085";"      21";"     188"
"69";"114";"2011JJ00";"    1648";"     207";"      11";"     112";"    1306";"      13";"      79";"     112";"    1302";"      23";"     132"
"70";"114";"2012JJ00";"    1679";"     263";"       5";"      82";"    1297";"      33";"      83";"      82";"    1265";"      30";"     219"
"71";"114";"2013JJ00";"    1629";"     269";"       2";"      68";"    1280";"      11";"     109";"      68";"    1242";"      13";"     197"
"72";"114";"2014JJ00";"    1720";"     203";"       6";"      84";"    1407";"      19";"     106";"      84";"    1339";"      26";"     165"
"73";"114";"2015JJ00";"    1854";"     270";"       4";"      80";"    1469";"      31";"      95";"      80";"    1406";"      28";"     245"
"74";"114";"2016JJ00";"    2055";"     282";"       0";"      89";"    1667";"      17";"     101";"      89";"    1603";"      13";"     249"
"75";"115";"2002JJ00";"     237";"      17";"       0";"       2";"     217";"       0";"       0";"       2";"     208";"       0";"      27"
"76";"115";"2003JJ00";"     277";"      14";"       1";"       0";"     262";"       0";"       6";"       0";"     257";"       1";"      14"
"77";"115";"2004JJ00";"     262";"      27";"       0";"       1";"     232";"       2";"       1";"       1";"     232";"       2";"      26"
"78";"115";"2005JJ00";"     261";"      16";"       0";"       0";"     241";"       4";"       4";"       0";"     241";"       4";"      12"
"79";"115";"2006JJ00";"     225";"      12";"       0";"       0";"     212";"       0";"       3";"       0";"     207";"       0";"      16"
"80";"115";"2007JJ00";"     250";"      13";"       0";"       0";"     237";"       0";"       1";"       0";"     237";"       0";"      12"
"81";"115";"2008JJ00";"     301";"      10";"       0";"       0";"     289";"       2";"       0";"       0";"     289";"       0";"      12"
"82";"115";"2009JJ00";"     328";"      27";"       0";"       7";"     292";"       2";"       3";"       7";"     292";"       0";"      26"
"83";"115";"2010JJ00";"     305";"      24";"       0";"       0";"     275";"       6";"       7";"       0";"     272";"       6";"      20"
"84";"115";"2011JJ00";"     305";"      22";"       4";"       2";"     276";"       2";"      10";"       2";"     276";"       5";"      11"
"85";"115";"2012JJ00";"     415";"      39";"       0";"       2";"     371";"       3";"       7";"       2";"     368";"       3";"      35"
"86";"115";"2013JJ00";"     389";"      22";"       0";"       0";"     367";"       0";"       6";"       0";"     350";"       0";"      33"
"87";"115";"2014JJ00";"     429";"      27";"       0";"       2";"     399";"       1";"       9";"       2";"     394";"       1";"      23"
"88";"115";"2015JJ00";"     362";"      20";"       0";"       0";"     341";"       0";"      10";"       0";"     335";"       0";"      17"
"89";"115";"2016JJ00";"     464";"      47";"       0";"       0";"     415";"       2";"      11";"       0";"     394";"       2";"      58"
"90";"116";"2002JJ00";"    1032";"     765";"      60";"     169";"      10";"      28";"     264";"     169";"      10";"      76";"     512"
"91";"116";"2003JJ00";"    1080";"     854";"      40";"     148";"      18";"      20";"     317";"     148";"      18";"      57";"     540"
"92";"116";"2004JJ00";"    1059";"     855";"      37";"     119";"      30";"      18";"     326";"     119";"      30";"      47";"     537"
"93";"116";"2005JJ00";"     995";"     810";"      42";"     111";"      13";"      20";"     293";"     111";"      13";"      56";"     521"
"94";"116";"2006JJ00";"    1122";"     891";"      52";"     126";"      28";"      25";"     361";"     126";"      28";"      70";"     537"
"95";"116";"2007JJ00";"    1127";"     874";"      70";"     140";"      38";"       5";"     375";"     140";"      38";"      73";"     502"
"96";"116";"2008JJ00";"    1069";"     857";"      44";"     130";"      37";"       1";"     290";"     130";"      37";"      42";"     570"
"97";"116";"2009JJ00";"    1181";"     987";"      42";"     110";"      28";"      14";"     407";"     110";"      28";"      55";"     580"
"98";"116";"2010JJ00";"    1130";"     965";"      37";"      78";"      36";"      14";"     372";"      78";"      36";"      40";"     604"
"99";"116";"2011JJ00";"    1153";"     965";"      22";"      88";"      64";"      15";"     381";"      88";"      64";"      35";"     586"
"100";"116";"2012JJ00";"    1195";"    1029";"      23";"      92";"      43";"       7";"     381";"      92";"      43";"      29";"     650"
"101";"116";"2013JJ00";"    1136";"     979";"      26";"      83";"      36";"      11";"     362";"      83";"      36";"      35";"     619"
"102";"116";"2014JJ00";"    1085";"     925";"      35";"      63";"      42";"      20";"     343";"      63";"      42";"      55";"     582"
"103";"116";"2015JJ00";"    1091";"     943";"      38";"      51";"      47";"      12";"     441";"      51";"      47";"      45";"     508"
"104";"116";"2016JJ00";"    1064";"     911";"      23";"      65";"      46";"      20";"     439";"      63";"      46";"      32";"     484"
"105";"117";"2002JJ00";"     393";"     325";"      32";"      20";"      10";"       5";"      36";"      20";"      10";"      34";"     293"
"106";"117";"2003JJ00";"     355";"     285";"      30";"      25";"      14";"       2";"      50";"      25";"      14";"      25";"     242"
"107";"117";"2004JJ00";"     370";"     283";"      43";"      23";"      19";"       2";"      62";"      23";"      19";"      43";"     223"
"108";"117";"2005JJ00";"     345";"     257";"      45";"      20";"      19";"       5";"      52";"      20";"      19";"      48";"     207"
"109";"117";"2006JJ00";"     335";"     274";"      17";"      15";"      29";"       0";"      53";"      15";"      29";"      17";"     221"
"110";"117";"2007JJ00";"     362";"     287";"      30";"      15";"      25";"       5";"      77";"      15";"      25";"      33";"     212"
"111";"117";"2008JJ00";"     335";"     269";"      19";"      20";"      25";"       2";"      58";"      20";"      25";"      21";"     211"
"112";"117";"2009JJ00";"     323";"     260";"      28";"      10";"      25";"       0";"      92";"      10";"      25";"      24";"     172"
"113";"117";"2010JJ00";"     279";"     227";"       9";"      14";"      29";"       0";"      93";"      14";"      25";"       9";"     138"
"114";"117";"2011JJ00";"     257";"     188";"      27";"      26";"      12";"       3";"      84";"      26";"      12";"      29";"     106"
"115";"117";"2012JJ00";"     261";"     211";"      22";"       7";"      20";"       0";"      78";"       7";"      20";"      22";"     133"
"116";"117";"2013JJ00";"     222";"     167";"      14";"      13";"      23";"       4";"      50";"      13";"      23";"      12";"     123"
"117";"117";"2014JJ00";"     239";"     172";"      14";"       8";"      45";"       0";"      45";"       8";"      45";"      14";"     127"
"118";"117";"2015JJ00";"     255";"     192";"      23";"      11";"      27";"       2";"      80";"      11";"      27";"      20";"     117"
"119";"117";"2016JJ00";"     211";"     169";"      13";"       3";"      26";"       0";"      59";"       3";"      26";"      13";"     111"
"120";"118";"2002JJ00";"     457";"     155";"      24";"      21";"     131";"     125";"      56";"      21";"     131";"     139";"     109"
"121";"118";"2003JJ00";"     399";"     121";"       6";"      22";"     142";"     107";"      23";"      22";"     142";"     113";"      99"
"122";"118";"2004JJ00";"     430";"     140";"      23";"      11";"     160";"      96";"      69";"      11";"     160";"     117";"      75"
"123";"118";"2005JJ00";"     387";"      89";"       3";"      33";"     182";"      79";"      43";"      33";"     182";"      79";"      50"
"124";"118";"2006JJ00";"     366";"     108";"       9";"      18";"     115";"     117";"      55";"      18";"     115";"     125";"      53"
"125";"118";"2007JJ00";"     357";"      92";"      13";"      34";"     130";"      87";"      34";"      34";"     130";"      95";"      63"
"126";"118";"2008JJ00";"     365";"     123";"      23";"      20";"     124";"      75";"      34";"      20";"     124";"      91";"      96"
"127";"118";"2009JJ00";"     433";"     161";"      16";"      51";"     111";"      94";"      40";"      51";"     111";"     104";"     126"
"128";"118";"2010JJ00";"     477";"     159";"      46";"      54";"     140";"      79";"      51";"      54";"     140";"     121";"     112"
"129";"118";"2011JJ00";"     489";"     129";"      41";"      27";"     161";"     130";"      58";"      27";"     161";"     166";"      76"
"130";"118";"2012JJ00";"     465";"     147";"      39";"      37";"     153";"      89";"      56";"      37";"     153";"     125";"      94"
"131";"118";"2013JJ00";"     524";"     193";"      28";"      39";"     165";"     100";"      90";"      39";"     165";"     122";"     109"
"132";"118";"2014JJ00";"     520";"     172";"      21";"      36";"     177";"     114";"      78";"      36";"     176";"     129";"     100"
"133";"118";"2015JJ00";"     520";"     202";"      18";"      24";"     195";"      80";"      95";"      24";"     195";"      98";"     107"
"134";"118";"2016JJ00";"     497";"     165";"      23";"      35";"     180";"      94";"      93";"      35";"     180";"     104";"      85"
"135";"119";"2002JJ00";"     221";"     154";"       2";"       9";"      42";"      14";"      41";"       9";"      42";"       8";"     121"
"136";"119";"2003JJ00";"     224";"     142";"       0";"       5";"      51";"      26";"      67";"       5";"      51";"      26";"      74"
"137";"119";"2004JJ00";"     267";"     152";"       4";"       8";"      66";"      37";"      74";"       8";"      66";"      41";"      77"
"138";"119";"2005JJ00";"     302";"     164";"       0";"      12";"      85";"      41";"      76";"      12";"      82";"      36";"      96"
"139";"119";"2006JJ00";"     279";"     191";"       0";"      13";"      55";"      20";"      56";"      13";"      55";"      18";"     136"
"140";"119";"2007JJ00";"     328";"     205";"       0";"      10";"      84";"      29";"      72";"      10";"      84";"      29";"     133"
"141";"119";"2008JJ00";"     320";"     150";"       5";"      34";"     100";"      31";"      47";"      34";"      98";"      30";"     110"
"142";"119";"2009JJ00";"     362";"     181";"       0";"      10";"     121";"      50";"      66";"      10";"     121";"      48";"     118"
"143";"119";"2010JJ00";"     297";"     173";"       9";"       4";"      94";"      17";"      55";"       4";"      92";"      26";"     120"
"144";"119";"2011JJ00";"     284";"     122";"       0";"       9";"     113";"      40";"      47";"       9";"     113";"      34";"      82"
"145";"119";"2012JJ00";"     274";"     116";"       8";"      20";"      65";"      65";"      67";"      20";"      65";"      69";"      53"
"146";"119";"2013JJ00";"     273";"     116";"       2";"      12";"      78";"      65";"      64";"      12";"      78";"      63";"      56"
"147";"119";"2014JJ00";"     278";"     144";"       5";"       9";"      88";"      32";"      65";"       9";"      88";"      37";"      79"
"148";"119";"2015JJ00";"     314";"     179";"       0";"       8";"      99";"      28";"      81";"       8";"      99";"      23";"     103"
"149";"119";"2016JJ00";"     288";"     138";"      12";"      19";"     101";"      17";"      61";"      19";"     101";"      29";"      78"
"150";"120";"2002JJ00";"     168";"     151";"       2";"       3";"       6";"       6";"      49";"       3";"       6";"       2";"     108"
"151";"120";"2003JJ00";"     165";"     162";"       2";"       0";"       0";"       0";"      71";"       0";"       0";"       0";"      93"
"152";"120";"2004JJ00";"     186";"     163";"       2";"       8";"       6";"       6";"      79";"       8";"       6";"       2";"      90"
"153";"120";"2005JJ00";"     181";"     168";"       0";"       5";"       4";"       4";"      90";"       5";"       4";"       0";"      82"
"154";"120";"2006JJ00";"     174";"     154";"       0";"       4";"      15";"       0";"      44";"       4";"      15";"       0";"     110"
"155";"120";"2007JJ00";"     191";"     174";"       0";"       4";"       3";"      10";"      86";"       4";"       3";"       4";"      94"
"156";"120";"2008JJ00";"     200";"     178";"       0";"       9";"       7";"       6";"      99";"       9";"       7";"       4";"      81"
"157";"120";"2009JJ00";"     180";"     157";"       4";"       2";"      13";"       3";"      96";"       2";"      13";"       7";"      61"
"158";"120";"2010JJ00";"     165";"     146";"       0";"       5";"      12";"       3";"      63";"       5";"      12";"       3";"      83"
