"ID";"Vakantiekenmerken";"Perioden";"TotaalNaarOrganisatievormEnVervoer_1";"GeorganiseerdeReisPerAuto_2";"GeorganiseerdeReisPerTouringcar_3";"GeorganiseerdeReisPerVliegtuig_4";"GeorganiseerdeReisMetOverigVervoer_5";"NietGeorganiseerdeReizen_6"
"197";"123";"2004JJ00";"       8";"       0";"       .";"       8";"       .";"       0"
"198";"123";"2005JJ00";"       5";"       0";"       .";"       5";"       .";"       0"
"199";"123";"2006JJ00";"       4";"       0";"       .";"       0";"       .";"       4"
"200";"123";"2007JJ00";"       5";"       0";"       0";"       5";"       0";"       0"
"201";"123";"2008JJ00";"       1";"       0";"       .";"       1";"       .";"       0"
"202";"123";"2009JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"203";"123";"2010JJ00";"       3";"       0";"       .";"       3";"       .";"       0"
"204";"123";"2011JJ00";"       0";"       .";"       .";"       0";"       .";"       ."
"205";"123";"2012JJ00";"       8";"       .";"       .";"       .";"       .";"       ."
"206";"123";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"207";"123";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"208";"123";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"209";"123";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"210";"124";"2002JJ00";"       5";"       0";"       .";"       3";"       0";"       2"
"211";"124";"2003JJ00";"       4";"       0";"       .";"       4";"       0";"       0"
"212";"124";"2004JJ00";"      10";"       2";"       .";"       3";"       .";"       5"
"213";"124";"2005JJ00";"      14";"       1";"       .";"       6";"       .";"       7"
"214";"124";"2006JJ00";"      11";"       0";"       .";"       7";"       .";"       4"
"215";"124";"2007JJ00";"       2";"       0";"       0";"       2";"       0";"       0"
"216";"124";"2008JJ00";"       6";"       0";"       .";"       4";"       .";"       0"
"217";"124";"2009JJ00";"      13";"       0";"       .";"      10";"       0";"       3"
"218";"124";"2010JJ00";"      16";"       0";"       .";"      16";"       .";"       0"
"219";"124";"2011JJ00";"      24";"       .";"       .";"      19";"       .";"       5"
"220";"124";"2012JJ00";"      25";"       .";"       .";"       .";"       .";"       ."
"221";"124";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"222";"124";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"223";"124";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"224";"124";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"225";"125";"2002JJ00";"      28";"       5";"       .";"      13";"       0";"       8"
"226";"125";"2003JJ00";"      23";"      11";"       .";"       4";"       5";"       3"
"227";"125";"2004JJ00";"      25";"       7";"       .";"       4";"       .";"       8"
"228";"125";"2005JJ00";"      32";"       3";"       .";"      19";"       .";"       6"
"229";"125";"2006JJ00";"       9";"       0";"       .";"       0";"       .";"       1"
"230";"125";"2007JJ00";"      30";"       1";"       8";"      20";"       0";"       0"
"231";"125";"2008JJ00";"      39";"       7";"       .";"      25";"       .";"       7"
"232";"125";"2009JJ00";"      29";"       4";"       .";"      17";"       2";"       2"
"233";"125";"2010JJ00";"      19";"       3";"      12";"       3";"       .";"       3"
"234";"125";"2011JJ00";"      21";"       3";"       4";"      12";"       2";"       ."
"235";"125";"2012JJ00";"      41";"       .";"       .";"       .";"       .";"       ."
"236";"125";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"237";"125";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"238";"125";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"239";"125";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"240";"126";"2002JJ00";"       8";"       0";"       .";"       8";"       0";"       0"
"241";"126";"2003JJ00";"       4";"       0";"       .";"       4";"       0";"       0"
"242";"126";"2004JJ00";"       6";"       0";"       .";"       6";"       .";"       0"
"243";"126";"2005JJ00";"      20";"       0";"       .";"      20";"       .";"       0"
"244";"126";"2006JJ00";"       9";"       0";"       .";"       9";"       .";"       0"
"245";"126";"2007JJ00";"       8";"       0";"       0";"       8";"       0";"       0"
"246";"126";"2008JJ00";"      21";"       0";"       .";"      19";"       .";"       0"
"247";"126";"2009JJ00";"      10";"       0";"       .";"      10";"       0";"       0"
"248";"126";"2010JJ00";"       3";"       0";"       .";"       3";"       .";"       0"
"249";"126";"2011JJ00";"      17";"       .";"       .";"      17";"       .";"       ."
"250";"126";"2012JJ00";"      23";"       .";"       .";"       .";"       .";"       ."
"251";"126";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"252";"126";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"253";"126";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"254";"126";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"255";"127";"2002JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
"256";"127";"2003JJ00";"       3";"       0";"       .";"       3";"       0";"       0"
"257";"127";"2004JJ00";"       0";"       0";"       .";"       .";"       .";"       0"
"258";"127";"2005JJ00";"       .";"       0";"       .";"       0";"       .";"       0"
"259";"127";"2006JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"260";"127";"2007JJ00";"       3";"       0";"       0";"       3";"       0";"       0"
"261";"127";"2008JJ00";"       0";"       0";"       .";"       0";"       .";"       0"
"262";"127";"2009JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
