"Bestemming en seizoen";"Vakantiekenmerken";"Perioden";"Deelname/Totaal Nederlanders (x 1 000)";"Vakanties/Totaal (x 1 000)";"Vakantiedagen/Totaal (mln )";"Overnachtingen/Totaal (mln )";"Uitgaven/Totaal (mln euro)"
"Vakantiebestemming: buitenland";"Vakantieduur: 5 tot 9 dagen";"2018*";"    5155";"    6927";"    46.8";"    39.9";"    3923"
"Vakantiebestemming: buitenland";"Vakantieduur: 9 tot 16 dagen";"2017*";"    4918";"    5897";"    70.2";"    64.3";"    5358"
"Vakantiebestemming: buitenland";"Vakantieduur: 9 tot 16 dagen";"2018*";"    4964";"    6027";"    71.1";"    65.1";"    5426"
"Vakantiebestemming: buitenland";"Vakantieduur: 16 of meer dagen";"2017*";"    4133";"    4707";"   114.4";"   109.7";"    6535"
"Vakantiebestemming: buitenland";"Vakantieduur: 16 of meer dagen";"2018*";"    4046";"    4659";"   113.3";"   108.7";"    6632"
"Vakantiebestemming: buitenland";"Vervoerwijze: auto";"2017*";"    6393";"   10055";"   103.6";"    93.6";"    4741"
"Vakantiebestemming: buitenland";"Vervoerwijze: auto";"2018*";"    6435";"    9873";"   101.1";"    91.3";"    4669"
"Vakantiebestemming: buitenland";"Vervoerwijze: vliegtuig";"2017*";"    6351";"   10098";"   125.4";"   115.3";"   11192"
"Vakantiebestemming: buitenland";"Vervoerwijze: vliegtuig";"2018*";"    6490";"   10297";"   127.2";"   116.9";"   11443"
"Vakantiebestemming: buitenland";"Vervoerwijze: trein";"2017*";"     533";"     630";"     3.9";"     3.2";"     344"
"Vakantiebestemming: buitenland";"Vervoerwijze: trein";"2018*";"     544";"     646";"     4.5";"     3.9";"     387"
"Vakantiebestemming: buitenland";"Vervoerwijze: overige ";"2017*";"    1051";"    1301";"    13.7";"    12.4";"     874"
"Vakantiebestemming: buitenland";"Vervoerwijze: overige ";"2018*";"    1006";"    1300";"    13.3";"    12.0";"     938"
"Zomerseizoen";"Totaal vakanties";"2017*";"   12819";"   23550";"   237.2";"   213.7";"   12557"
"Zomerseizoen";"Totaal vakanties";"2018*";"   12946";"   23960";"   243.6";"   219.6";"   13311"
"Zomerseizoen";"Accommodatie: hotel, pension, B&B";"2017*";"    5200";"    7324";"    57.5";"    50.2";"    5558"
"Zomerseizoen";"Accommodatie: hotel, pension, B&B";"2018*";"    5594";"    7720";"    62.0";"    54.2";"    6090"
"Zomerseizoen";"Accommodatie: vakantiehuis, stacaravan";"2017*";"    4479";"    6476";"    61.5";"    55.0";"    2260"
"Zomerseizoen";"Accommodatie: vakantiehuis, stacaravan";"2018*";"    4607";"    6595";"    65.5";"    58.9";"    2487"
"Zomerseizoen";"Accommodatie: appartement";"2017*";"    1203";"    1332";"    15.1";"    13.7";"    1021"
"Zomerseizoen";"Accommodatie: appartement";"2018*";"    1218";"    1313";"    14.0";"    12.7";"     990"
"Zomerseizoen";"Accommodatie: kampeerverblijf";"2017*";"    2954";"    4556";"    62.2";"    57.6";"    1886"
"Zomerseizoen";"Accommodatie: kampeerverblijf";"2018*";"    2965";"    4439";"    62.8";"    58.4";"    1824"
"Zomerseizoen";"Accommodatie: particulier (alle)";"2017*";"    2521";"    3025";"    33.4";"    30.4";"    1447"
"Zomerseizoen";"Accommodatie: particulier (alle)";"2018*";"    2604";"    3069";"    32.7";"    29.6";"    1534"
"Zomerseizoen";"Accommodatie: overig, onbekend";"2017*";"     624";"     837";"     7.5";"     6.7";"     386"
"Zomerseizoen";"Accommodatie: overig, onbekend";"2018*";"     577";"     824";"     6.5";"     5.7";"     386"
"Zomerseizoen";"Organisatie: eigen recreatieve accom.";"2017*";"    1330";"    3125";"    34.1";"    30.9";"     587"
"Zomerseizoen";"Organisatie: eigen recreatieve accom.";"2018*";"    1382";"    2939";"    35.0";"    32.1";"     603"
"Zomerseizoen";"Organisatie: accommodatie en vervoer";"2017*";"    4209";"    5154";"    56.0";"    50.8";"    5682"
"Zomerseizoen";"Organisatie: accommodatie en vervoer";"2018*";"    4617";"    5711";"    61.9";"    56.2";"    6322"
"Zomerseizoen";"Organisatie: pakketreis";"2017*";"    2567";"    2853";"    32.1";"    29.3";"    3341"
"Zomerseizoen";"Organisatie: pakketreis";"2018*";"    2763";"    3115";"    33.5";"    30.4";"    3711"
"Zomerseizoen";"Organisatie: samengestelde reis";"2017*";"    1904";"    2300";"    23.9";"    21.6";"    2341"
"Zomerseizoen";"Organisatie: samengestelde reis";"2018*";"    2199";"    2596";"    28.3";"    25.7";"    2611"
"Zomerseizoen";"Organisatie: alleen accommodatie";"2017*";"    7036";"   10022";"    87.8";"    77.8";"    3878"
"Zomerseizoen";"Organisatie: alleen accommodatie";"2018*";"    7669";"   11117";"    97.4";"    86.2";"    4398"
"Zomerseizoen";"Organisatie: alleen vervoer";"2017*";"    1032";"    1132";"    16.8";"    15.6";"     993"
"Zomerseizoen";"Organisatie: alleen vervoer";"2018*";"     932";"    1040";"    14.7";"    13.6";"     895"
"Zomerseizoen";"Organisatie: op de bonnefooi";"2017*";"    3229";"    4118";"    42.6";"    38.5";"    1417"
"Zomerseizoen";"Organisatie: op de bonnefooi";"2018*";"    2552";"    3152";"    34.6";"    31.5";"    1093"
"Zomerseizoen";"Reisgezelschap: alleenreizende";"2017*";"     801";"    1123";"    10.0";"     8.9";"     731"
"Zomerseizoen";"Reisgezelschap: alleenreizende";"2018*";"     999";"    1478";"    13.2";"    11.8";"    1002"
"Zomerseizoen";"Reisgezelschap: paar zonder kinderen";"2017*";"    5119";"    8852";"    96.1";"    87.2";"    5282"
"Zomerseizoen";"Reisgezelschap: paar zonder kinderen";"2018*";"    4856";"    8152";"    90.3";"    82.1";"    5063"
"Zomerseizoen";"Reisgezelschap: volwassene en kind(eren)";"2017*";"    5504";"    8539";"    89.6";"    81.1";"    3608"
"Zomerseizoen";"Reisgezelschap: volwassene en kind(eren)";"2018*";"    5645";"    8874";"    94.6";"    85.7";"    3926"
"Zomerseizoen";"Reisgezelschap: familie, anderen";"2017*";"    2384";"    3055";"    27.1";"    24.1";"    1740"
"Zomerseizoen";"Reisgezelschap: familie, anderen";"2018*";"    2599";"    3302";"    29.8";"    26.5";"    1927"
"Zomerseizoen";"Reisgezelschap: vrienden, bekenden, e.a.";"2017*";"    1554";"    1980";"    14.4";"    12.4";"    1196"
"Zomerseizoen";"Reisgezelschap: vrienden, bekenden, e.a.";"2018*";"    1679";"    2155";"    15.7";"    13.5";"    1392"
"Zomerseizoen";"Soort vakantie: eigen recreatieve accom.";"2017*";"    1330";"    3125";"    34.1";"    30.9";"     587"
"Zomerseizoen";"Soort vakantie: eigen recreatieve accom.";"2018*";"    1382";"    2939";"    35.0";"    32.1";"     603"
"Zomerseizoen";"Soort vakantie: actief";"2017*";"    3089";"    3991";"    39.5";"    35.5";"    1907"
"Zomerseizoen";"Soort vakantie: actief";"2018*";"    2842";"    3625";"    36.3";"    32.7";"    1781"
"Zomerseizoen";"Soort vakantie: strand";"2017*";"    3135";"    3528";"    44.1";"    40.6";"    2687"
"Zomerseizoen";"Soort vakantie: strand";"2018*";"    3204";"    3674";"    44.0";"    40.3";"    2853"
"Zomerseizoen";"Soort vakantie: steden";"2017*";"    1899";"    2338";"    14.0";"    11.7";"    1251"
"Zomerseizoen";"Soort vakantie: steden";"2018*";"    1931";"    2285";"    14.6";"    12.3";"    1291"
"Zomerseizoen";"Soort vakantie: natuur";"2017*";"    1455";"    1679";"    20.3";"    18.6";"     994"
"Zomerseizoen";"Soort vakantie: natuur";"2018*";"    1476";"    1733";"    19.4";"    17.6";"     964"
"Zomerseizoen";"Soort vakantie: cultuur";"2017*";"    1166";"    1315";"    11.4";"    10.0";"     801"
"Zomerseizoen";"Soort vakantie: cultuur";"2018*";"    1208";"    1396";"    11.0";"     9.6";"     807"
"Zomerseizoen";"Soort vakantie: recreatie";"2017*";"     765";"     843";"     4.5";"     3.6";"     231"
"Zomerseizoen";"Soort vakantie: recreatie";"2018*";"     672";"     732";"     4.1";"     3.4";"     255"
"Zomerseizoen";"Soort vakantie: rondreis";"2017*";"    1058";"    1110";"    20.0";"    18.9";"    1890"
"Zomerseizoen";"Soort vakantie: rondreis";"2018*";"    1276";"    1323";"    23.4";"    22.1";"    2167"
"Zomerseizoen";"Soort vakantie: familie, vrienden, e.d.";"2017*";"    2668";"    3229";"    27.1";"    23.9";"    1101"
"Zomerseizoen";"Soort vakantie: familie, vrienden, e.d.";"2018*";"    2095";"    2424";"    19.5";"    17.0";"     867"
"Zomerseizoen";"Soort vakantie: overig, onbekend";"2017*";"    2100";"    2392";"    22.4";"    20.0";"    1107"
"Zomerseizoen";"Soort vakantie: overig, onbekend";"2018*";"    3209";"    3829";"    36.2";"    32.4";"    1723"
"Zomerseizoen";"Vakantieduur: 2 tot 5 dagen (kort)";"2017*";"    4569";"    7325";"    22.9";"    15.6";"    1324"
"Zomerseizoen";"Vakantieduur: 2 tot 5 dagen (kort)";"2018*";"    4556";"    7077";"    22.0";"    15.0";"    1402"
"Zomerseizoen";"Vakantieduur: 5 of meer dagen (lang)";"2017*";"   11582";"   16225";"   214.3";"   198.1";"   11233"
"Zomerseizoen";"Vakantieduur: 5 of meer dagen (lang)";"2018*";"   11683";"   16883";"   221.5";"   204.7";"   11908"
"Zomerseizoen";"Vakantieduur: 5 tot 9 dagen";"2017*";"    5305";"    6701";"    44.3";"    37.6";"    2577"
"Zomerseizoen";"Vakantieduur: 5 tot 9 dagen";"2018*";"    5723";"    7137";"    47.7";"    40.5";"    2979"
"Zomerseizoen";"Vakantieduur: 9 tot 16 dagen";"2017*";"    4595";"    5119";"    63.0";"    57.9";"    3883"
"Zomerseizoen";"Vakantieduur: 9 tot 16 dagen";"2018*";"    4749";"    5308";"    64.5";"    59.1";"    4051"
"Zomerseizoen";"Vakantieduur: 16 of meer dagen";"2017*";"    4132";"    4404";"   107.0";"   102.6";"    4773"
"Zomerseizoen";"Vakantieduur: 16 of meer dagen";"2018*";"    4166";"    4438";"   109.4";"   105.0";"    4878"
"Zomerseizoen";"Vervoerwijze: auto";"2017*";"    9280";"   15531";"   143.9";"   128.3";"    5106"
"Zomerseizoen";"Vervoerwijze: auto";"2018*";"    9431";"   15553";"   147.0";"   131.5";"    5368"
"Zomerseizoen";"Vervoerwijze: vliegtuig";"2017*";"    4541";"    5548";"    72.4";"    66.9";"    6321"
"Zomerseizoen";"Vervoerwijze: vliegtuig";"2018*";"    4812";"    5942";"    75.9";"    70.0";"    6738"
"Zomerseizoen";"Vervoerwijze: trein";"2017*";"     713";"     899";"     5.3";"     4.4";"     340"
"Zomerseizoen";"Vervoerwijze: trein";"2018*";"     706";"     880";"     5.4";"     4.5";"     362"
"Zomerseizoen";"Vervoerwijze: overige ";"2017*";"    1168";"    1572";"    15.6";"    14.0";"     789"
"Zomerseizoen";"Vervoerwijze: overige ";"2018*";"    1143";"    1586";"    15.2";"    13.7";"     842"
"Winterseizoen";"Totaal vakanties";"2017*";"    9534";"   17703";"   127.7";"   110.0";"    8080"
"Winterseizoen";"Totaal vakanties";"2018*";"    9233";"   16894";"   123.3";"   106.5";"    8028"
"Winterseizoen";"Accommodatie: hotel, pension, B&B";"2017*";"    4950";"    7241";"    43.8";"    36.6";"    4342"
"Winterseizoen";"Accommodatie: hotel, pension, B&B";"2018*";"    4670";"    6797";"    42.2";"    35.4";"    4211"
"Winterseizoen";"Accommodatie: vakantiehuis, stacaravan";"2017*";"    3551";"    5264";"    37.3";"    32.0";"    1295"
"Winterseizoen";"Accommodatie: vakantiehuis, stacaravan";"2018*";"    3511";"    5101";"    34.0";"    28.9";"    1267"
"Winterseizoen";"Accommodatie: appartement";"2017*";"     988";"    1120";"     9.9";"     8.8";"     740"
"Winterseizoen";"Accommodatie: appartement";"2018*";"    1005";"    1115";"    10.9";"     9.8";"     865"
"Winterseizoen";"Accommodatie: kampeerverblijf";"2017*";"     517";"     802";"     9.9";"     9.1";"     286"
"Winterseizoen";"Accommodatie: kampeerverblijf";"2018*";"     530";"     787";"    11.9";"    11.1";"     319"
"Winterseizoen";"Accommodatie: particulier (alle)";"2017*";"    2160";"    2701";"    22.8";"    20.1";"    1050"
"Winterseizoen";"Accommodatie: particulier (alle)";"2018*";"    2054";"    2608";"    20.6";"    18.0";"     983"
"Winterseizoen";"Accommodatie: overig, onbekend";"2017*";"     460";"     574";"     3.9";"     3.3";"     366"
"Winterseizoen";"Accommodatie: overig, onbekend";"2018*";"     397";"     486";"     3.8";"     3.3";"     382"
"Winterseizoen";"Organisatie: eigen recreatieve accom.";"2017*";"     987";"    2107";"    18.4";"    16.3";"     308"
"Winterseizoen";"Organisatie: eigen recreatieve accom.";"2018*";"     947";"    1977";"    17.8";"    15.8";"     321"
"Winterseizoen";"Organisatie: accommodatie en vervoer";"2017*";"    3283";"    4283";"    39.7";"    35.4";"    4292"
"Winterseizoen";"Organisatie: accommodatie en vervoer";"2018*";"    3189";"    4111";"    39.2";"    35.1";"    4259"
"Winterseizoen";"Organisatie: pakketreis";"2017*";"    1801";"    2089";"    20.9";"    18.9";"    2393"
"Winterseizoen";"Organisatie: pakketreis";"2018*";"    1724";"    2008";"    20.0";"    18.0";"    2273"
"Winterseizoen";"Organisatie: samengestelde reis";"2017*";"    1764";"    2194";"    18.8";"    16.6";"    1899"
"Winterseizoen";"Organisatie: samengestelde reis";"2018*";"    1715";"    2103";"    19.2";"    17.1";"    1985"
"Winterseizoen";"Organisatie: alleen accommodatie";"2017*";"    5193";"    7326";"    36.3";"    28.9";"    2020"
"Winterseizoen";"Organisatie: alleen accommodatie";"2018*";"    5439";"    7754";"    40.8";"    33.1";"    2311"
"Winterseizoen";"Organisatie: alleen vervoer";"2017*";"     832";"     963";"    13.5";"    12.5";"     821"
"Winterseizoen";"Organisatie: alleen vervoer";"2018*";"     722";"     829";"    10.7";"     9.9";"     680"
"Winterseizoen";"Organisatie: op de bonnefooi";"2017*";"    2363";"    3023";"    19.8";"    16.8";"     639"
"Winterseizoen";"Organisatie: op de bonnefooi";"2018*";"    1758";"    2223";"    14.9";"    12.6";"     457"
"Winterseizoen";"Reisgezelschap: alleenreizende";"2017*";"     823";"    1174";"    10.3";"     9.1";"     728"
"Winterseizoen";"Reisgezelschap: alleenreizende";"2018*";"     892";"    1396";"    12.0";"    10.6";"     990"
"Winterseizoen";"Reisgezelschap: paar zonder kinderen";"2017*";"    3813";"    6523";"    53.4";"    46.9";"    3532"
"Winterseizoen";"Reisgezelschap: paar zonder kinderen";"2018*";"    3509";"    5747";"    46.8";"    41.1";"    3068"
"Winterseizoen";"Reisgezelschap: volwassene en kind(eren)";"2017*";"    3735";"    5701";"    36.7";"    31.0";"    1650"
"Winterseizoen";"Reisgezelschap: volwassene en kind(eren)";"2018*";"    3597";"    5519";"    37.5";"    32.0";"    1733"
"Winterseizoen";"Reisgezelschap: familie, anderen";"2017*";"    2093";"    2601";"    17.6";"    15.0";"    1337"
"Winterseizoen";"Reisgezelschap: familie, anderen";"2018*";"    2007";"    2482";"    16.3";"    13.8";"    1165"
"Winterseizoen";"Reisgezelschap: vrienden, bekenden, e.a.";"2017*";"    1304";"    1704";"     9.7";"     8.0";"     832"
"Winterseizoen";"Reisgezelschap: vrienden, bekenden, e.a.";"2018*";"    1308";"    1750";"    10.7";"     8.9";"    1070"
"Winterseizoen";"Soort vakantie: eigen recreatieve accom.";"2017*";"     987";"    2107";"    18.4";"    16.3";"     308"
"Winterseizoen";"Soort vakantie: eigen recreatieve accom.";"2018*";"     947";"    1977";"    17.8";"    15.8";"     321"
"Winterseizoen";"Soort vakantie: actief";"2017*";"    2491";"    3143";"    23.0";"    19.8";"    1548"
"Winterseizoen";"Soort vakantie: actief";"2018*";"    2256";"    2862";"    21.2";"    18.3";"    1494"
"Winterseizoen";"Soort vakantie: strand";"2017*";"    1167";"    1313";"    13.7";"    12.3";"    1061"
"Winterseizoen";"Soort vakantie: strand";"2018*";"    1146";"    1250";"    13.4";"    12.1";"    1044"
"Winterseizoen";"Soort vakantie: steden";"2017*";"    2138";"    2774";"    13.5";"    10.7";"    1197"
"Winterseizoen";"Soort vakantie: steden";"2018*";"    2135";"    2690";"    13.0";"    10.3";"    1228"
"Winterseizoen";"Soort vakantie: natuur";"2017*";"     774";"     898";"     7.4";"     6.5";"     493"
"Winterseizoen";"Soort vakantie: natuur";"2018*";"     660";"     745";"     6.1";"     5.3";"     390"
"Winterseizoen";"Soort vakantie: cultuur";"2017*";"     884";"    1017";"     5.5";"     4.5";"     468"
"Winterseizoen";"Soort vakantie: cultuur";"2018*";"     934";"    1074";"     5.6";"     4.5";"     442"
"Winterseizoen";"Soort vakantie: recreatie";"2017*";"     794";"     899";"     3.6";"     2.7";"     276"
"Winterseizoen";"Soort vakantie: recreatie";"2018*";"     775";"     864";"     4.8";"     4.0";"     327"
"Winterseizoen";"Soort vakantie: rondreis";"2017*";"     550";"     573";"    10.3";"     9.7";"    1114"
"Winterseizoen";"Soort vakantie: rondreis";"2018*";"     457";"     480";"     9.2";"     8.7";"     963"
"Winterseizoen";"Soort vakantie: familie, vrienden, e.d.";"2017*";"    2610";"    3134";"    20.0";"    16.9";"     927"
"Winterseizoen";"Soort vakantie: familie, vrienden, e.d.";"2018*";"    2101";"    2584";"    16.1";"    13.6";"     840"
"Winterseizoen";"Soort vakantie: overig, onbekend";"2017*";"    1637";"    1845";"    12.3";"    10.4";"     688"
"Winterseizoen";"Soort vakantie: overig, onbekend";"2018*";"    1957";"    2368";"    16.1";"    13.8";"     979"
"Winterseizoen";"Vakantieduur: 2 tot 5 dagen (kort)";"2017*";"    5266";"    8174";"    25.2";"    17.0";"    1488"
"Winterseizoen";"Vakantieduur: 2 tot 5 dagen (kort)";"2018*";"    5153";"    7762";"    24.1";"    16.3";"    1637"
"Winterseizoen";"Vakantieduur: 5 of meer dagen (lang)";"2017*";"    6578";"    9529";"   102.5";"    93.0";"    6592"
"Winterseizoen";"Vakantieduur: 5 of meer dagen (lang)";"2018*";"    6375";"    9132";"    99.2";"    90.1";"    6391"
"Winterseizoen";"Vakantieduur: 5 tot 9 dagen";"2017*";"    4519";"    5850";"    38.3";"    32.5";"    2464"
"Winterseizoen";"Vakantieduur: 5 tot 9 dagen";"2018*";"    4289";"    5521";"    36.0";"    30.4";"    2312"
"Winterseizoen";"Vakantieduur: 9 tot 16 dagen";"2017*";"    2076";"    2386";"    26.4";"    24.0";"    1960"
"Winterseizoen";"Vakantieduur: 9 tot 16 dagen";"2018*";"    1996";"    2317";"    25.8";"    23.5";"    1873"
"Winterseizoen";"Vakantieduur: 16 of meer dagen";"2017*";"    1149";"    1293";"    37.7";"    36.4";"    2169"
"Winterseizoen";"Vakantieduur: 16 of meer dagen";"2018*";"    1155";"    1295";"    37.5";"    36.2";"    2205"
"Winterseizoen";"Vervoerwijze: auto";"2017*";"    6924";"   11389";"    65.0";"    53.6";"    2689"
"Winterseizoen";"Vervoerwijze: auto";"2018*";"    6665";"   10838";"    62.2";"    51.4";"    2718"
"Winterseizoen";"Vervoerwijze: vliegtuig";"2017*";"    3504";"    4566";"    53.0";"    48.5";"    4882"
"Winterseizoen";"Vervoerwijze: vliegtuig";"2018*";"    3303";"    4381";"    51.6";"    47.2";"    4716"
"Winterseizoen";"Vervoerwijze: trein";"2017*";"     665";"     844";"     3.5";"     2.7";"     218"
"Winterseizoen";"Vervoerwijze: trein";"2018*";"     648";"     825";"     3.6";"     2.8";"     270"
"Winterseizoen";"Vervoerwijze: overige ";"2017*";"     718";"     905";"     6.1";"     5.2";"     291"
"Winterseizoen";"Vervoerwijze: overige ";"2018*";"     656";"     851";"     5.9";"     5.0";"     324"
