"Bestemming en seizoen";"Vakantiekenmerken";"Perioden";"Deelname/Totaal Nederlanders (x 1 000)";"Vakanties/Totaal (x 1 000)";"Vakantiedagen/Totaal (mln )";"Overnachtingen/Totaal (mln )";"Uitgaven/Totaal (mln euro)"
"Totaal vakanties";"Soort vakantie: recreatie";"2018*";"    1360";"    1596";"     9.0";"     7.4";"     582"
"Totaal vakanties";"Soort vakantie: rondreis";"2017*";"    1495";"    1683";"    30.2";"    28.6";"    3005"
"Totaal vakanties";"Soort vakantie: rondreis";"2018*";"    1618";"    1803";"    32.6";"    30.8";"    3130"
"Totaal vakanties";"Soort vakantie: familie, vrienden, e.d.";"2017*";"    4544";"    6363";"    47.2";"    40.8";"    2028"
"Totaal vakanties";"Soort vakantie: familie, vrienden, e.d.";"2018*";"    3610";"    5008";"    35.6";"    30.6";"    1707"
"Totaal vakanties";"Soort vakantie: overig, onbekend";"2017*";"    3331";"    4237";"    34.7";"    30.4";"    1795"
"Totaal vakanties";"Soort vakantie: overig, onbekend";"2018*";"    4445";"    6197";"    52.4";"    46.2";"    2702"
"Totaal vakanties";"Vakantieduur: 2 tot 5 dagen (kort)";"2017*";"    7552";"   15499";"    48.1";"    32.6";"    2812"
"Totaal vakanties";"Vakantieduur: 2 tot 5 dagen (kort)";"2018*";"    7511";"   14839";"    46.1";"    31.3";"    3039"
"Totaal vakanties";"Vakantieduur: 5 of meer dagen (lang)";"2017*";"   12922";"   25754";"   316.8";"   291.1";"   17825"
"Totaal vakanties";"Vakantieduur: 5 of meer dagen (lang)";"2018*";"   12961";"   26015";"   320.8";"   294.8";"   18299"
"Totaal vakanties";"Vakantieduur: 5 tot 9 dagen";"2017*";"    8093";"   12552";"    82.7";"    70.1";"    5040"
"Totaal vakanties";"Vakantieduur: 5 tot 9 dagen";"2018*";"    8262";"   12657";"    83.6";"    71.0";"    5291"
"Totaal vakanties";"Vakantieduur: 9 tot 16 dagen";"2017*";"    6001";"    7505";"    89.4";"    81.9";"    5842"
"Totaal vakanties";"Vakantieduur: 9 tot 16 dagen";"2018*";"    6025";"    7625";"    90.3";"    82.6";"    5925"
"Totaal vakanties";"Vakantieduur: 16 of meer dagen";"2017*";"    4897";"    5697";"   144.7";"   139.0";"    6942"
"Totaal vakanties";"Vakantieduur: 16 of meer dagen";"2018*";"    4859";"    5732";"   146.9";"   141.1";"    7084"
"Totaal vakanties";"Vervoerwijze: auto";"2017*";"   11152";"   26920";"   208.9";"   181.9";"    7795"
"Totaal vakanties";"Vervoerwijze: auto";"2018*";"   11210";"   26390";"   209.3";"   182.9";"    8085"
"Totaal vakanties";"Vervoerwijze: vliegtuig";"2017*";"    6351";"   10114";"   125.5";"   115.4";"   11203"
"Totaal vakanties";"Vervoerwijze: vliegtuig";"2018*";"    6490";"   10322";"   127.5";"   117.2";"   11455"
"Totaal vakanties";"Vervoerwijze: trein";"2017*";"    1223";"    1742";"     8.8";"     7.1";"     558"
"Totaal vakanties";"Vervoerwijze: trein";"2018*";"    1221";"    1705";"     9.0";"     7.3";"     632"
"Totaal vakanties";"Vervoerwijze: overige ";"2017*";"    1715";"    2476";"    21.7";"    19.2";"    1080"
"Totaal vakanties";"Vervoerwijze: overige ";"2018*";"    1598";"    2436";"    21.1";"    18.7";"    1166"
"Vakantiebestemming: Nederland";"Totaal vakanties";"2017*";"    8786";"   19168";"   118.3";"    99.2";"    3486"
"Vakantiebestemming: Nederland";"Totaal vakanties";"2018*";"    8855";"   18738";"   120.7";"   102.0";"    3902"
"Vakantiebestemming: Nederland";"Accommodatie: hotel, pension, B&B";"2017*";"    3330";"    5077";"    17.0";"    11.9";"    1047"
"Vakantiebestemming: Nederland";"Accommodatie: hotel, pension, B&B";"2018*";"    3217";"    4889";"    17.4";"    12.5";"    1205"
"Vakantiebestemming: Nederland";"Accommodatie: vakantiehuis, stacaravan";"2017*";"    4462";"    8035";"    54.7";"    46.6";"    1416"
"Vakantiebestemming: Nederland";"Accommodatie: vakantiehuis, stacaravan";"2018*";"    4477";"    7882";"    55.0";"    47.1";"    1563"
"Vakantiebestemming: Nederland";"Accommodatie: appartement";"2017*";"     260";"     269";"     1.5";"     1.3";"      75"
"Vakantiebestemming: Nederland";"Accommodatie: appartement";"2018*";"     273";"     290";"     1.8";"     1.6";"     101"
"Vakantiebestemming: Nederland";"Accommodatie: kampeerverblijf";"2017*";"    1694";"    2900";"    27.4";"    24.5";"     487"
"Vakantiebestemming: Nederland";"Accommodatie: kampeerverblijf";"2018*";"    1756";"    2882";"    30.4";"    27.5";"     546"
"Vakantiebestemming: Nederland";"Accommodatie: particulier (alle)";"2017*";"    1489";"    2001";"    11.7";"     9.7";"     324"
"Vakantiebestemming: Nederland";"Accommodatie: particulier (alle)";"2018*";"    1500";"    1988";"    11.6";"     9.6";"     366"
"Vakantiebestemming: Nederland";"Accommodatie: overig, onbekend";"2017*";"     527";"     886";"     6.0";"     5.1";"     137"
"Vakantiebestemming: Nederland";"Accommodatie: overig, onbekend";"2018*";"     494";"     806";"     4.5";"     3.7";"     121"
"Vakantiebestemming: Nederland";"Organisatie: eigen recreatieve accom.";"2017*";"    1177";"    3943";"    33.1";"    29.1";"     369"
"Vakantiebestemming: Nederland";"Organisatie: eigen recreatieve accom.";"2018*";"    1181";"    3715";"    34.9";"    31.1";"     396"
"Vakantiebestemming: Nederland";"Organisatie: accommodatie en vervoer";"2017*";"     390";"     452";"     2.4";"     2.0";"     136"
"Vakantiebestemming: Nederland";"Organisatie: accommodatie en vervoer";"2018*";"     389";"     472";"     2.3";"     1.9";"     174"
"Vakantiebestemming: Nederland";"Organisatie: pakketreis";"2017*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Organisatie: pakketreis";"2018*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Organisatie: samengestelde reis";"2017*";"     247";"     297";"     1.6";"     1.3";"      74"
"Vakantiebestemming: Nederland";"Organisatie: samengestelde reis";"2018*";"     301";"     346";"     1.8";"     1.5";"     122"
"Vakantiebestemming: Nederland";"Organisatie: alleen accommodatie";"2017*";"    6224";"   10218";"    54.8";"    44.6";"    2190"
"Vakantiebestemming: Nederland";"Organisatie: alleen accommodatie";"2018*";"    6761";"   11263";"    63.5";"    52.3";"    2714"
"Vakantiebestemming: Nederland";"Organisatie: alleen vervoer";"2017*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Organisatie: alleen vervoer";"2018*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Organisatie: op de bonnefooi";"2017*";"    3132";"    4440";"    27.4";"    23.0";"     765"
"Vakantiebestemming: Nederland";"Organisatie: op de bonnefooi";"2018*";"    2286";"    3144";"    19.1";"    16.0";"     578"
"Vakantiebestemming: Nederland";"Reisgezelschap: alleenreizende";"2017*";"     608";"    1001";"     5.3";"     4.3";"     173"
"Vakantiebestemming: Nederland";"Reisgezelschap: alleenreizende";"2018*";"     626";"    1276";"     6.9";"     5.7";"     265"
"Vakantiebestemming: Nederland";"Reisgezelschap: paar zonder kinderen";"2017*";"    3613";"    7451";"    51.2";"    43.7";"    1511"
"Vakantiebestemming: Nederland";"Reisgezelschap: paar zonder kinderen";"2018*";"    3339";"    6674";"    46.9";"    40.3";"    1558"
"Vakantiebestemming: Nederland";"Reisgezelschap: volwassene en kind(eren)";"2017*";"    3903";"    7132";"    44.3";"    37.1";"    1111"
"Vakantiebestemming: Nederland";"Reisgezelschap: volwassene en kind(eren)";"2018*";"    4004";"    7137";"    48.1";"    41.0";"    1225"
"Vakantiebestemming: Nederland";"Reisgezelschap: familie, anderen";"2017*";"    1649";"    2287";"    12.2";"     9.9";"     454"
"Vakantiebestemming: Nederland";"Reisgezelschap: familie, anderen";"2018*";"    1701";"    2315";"    12.9";"    10.6";"     503"
"Vakantiebestemming: Nederland";"Reisgezelschap: vrienden, bekenden, e.a.";"2017*";"     941";"    1296";"     5.4";"     4.1";"     237"
"Vakantiebestemming: Nederland";"Reisgezelschap: vrienden, bekenden, e.a.";"2018*";"    1012";"    1336";"     5.8";"     4.4";"     351"
"Vakantiebestemming: Nederland";"Soort vakantie: eigen recreatieve accom.";"2017*";"    1177";"    3943";"    33.1";"    29.1";"     369"
"Vakantiebestemming: Nederland";"Soort vakantie: eigen recreatieve accom.";"2018*";"    1181";"    3715";"    34.9";"    31.1";"     396"
"Vakantiebestemming: Nederland";"Soort vakantie: actief";"2017*";"    2396";"    3332";"    22.3";"    18.9";"     786"
"Vakantiebestemming: Nederland";"Soort vakantie: actief";"2018*";"    2128";"    2917";"    18.8";"    15.9";"     762"
"Vakantiebestemming: Nederland";"Soort vakantie: strand";"2017*";"     904";"    1047";"     7.8";"     6.7";"     252"
"Vakantiebestemming: Nederland";"Soort vakantie: strand";"2018*";"    1043";"    1191";"     8.2";"     7.0";"     325"
"Vakantiebestemming: Nederland";"Soort vakantie: steden";"2017*";"    1086";"    1346";"     5.0";"     3.6";"     259"
"Vakantiebestemming: Nederland";"Soort vakantie: steden";"2018*";"     997";"    1196";"     4.6";"     3.4";"     271"
"Vakantiebestemming: Nederland";"Soort vakantie: natuur";"2017*";"    1029";"    1267";"     9.5";"     8.2";"     307"
"Vakantiebestemming: Nederland";"Soort vakantie: natuur";"2018*";"    1039";"    1282";"     9.7";"     8.4";"     340"
"Vakantiebestemming: Nederland";"Soort vakantie: cultuur";"2017*";"     741";"     883";"     3.5";"     2.6";"     188"
"Vakantiebestemming: Nederland";"Soort vakantie: cultuur";"2018*";"     831";"    1015";"     3.8";"     2.8";"     242"
"Vakantiebestemming: Nederland";"Soort vakantie: recreatie";"2017*";"     991";"    1144";"     4.5";"     3.3";"     232"
"Vakantiebestemming: Nederland";"Soort vakantie: recreatie";"2018*";"     819";"     910";"     3.6";"     2.7";"     201"
"Vakantiebestemming: Nederland";"Soort vakantie: rondreis";"2017*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Soort vakantie: rondreis";"2018*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Soort vakantie: familie, vrienden, e.d.";"2017*";"    2838";"    3646";"    17.4";"    13.8";"     564"
"Vakantiebestemming: Nederland";"Soort vakantie: familie, vrienden, e.d.";"2018*";"    2052";"    2730";"    12.1";"     9.4";"     448"
"Vakantiebestemming: Nederland";"Soort vakantie: overig, onbekend";"2017*";"    1978";"    2471";"    14.7";"    12.2";"     488"
"Vakantiebestemming: Nederland";"Soort vakantie: overig, onbekend";"2018*";"    2853";"    3701";"    24.0";"    20.3";"     893"
"Vakantiebestemming: Nederland";"Vakantieduur: 2 tot 5 dagen (kort)";"2017*";"    5734";"   10913";"    32.8";"    21.9";"    1369"
"Vakantiebestemming: Nederland";"Vakantieduur: 2 tot 5 dagen (kort)";"2018*";"    5596";"   10336";"    31.1";"    20.8";"    1584"
"Vakantiebestemming: Nederland";"Vakantieduur: 5 of meer dagen (lang)";"2017*";"    5401";"    8255";"    85.5";"    77.3";"    2117"
"Vakantiebestemming: Nederland";"Vakantieduur: 5 of meer dagen (lang)";"2018*";"    5423";"    8401";"    89.5";"    81.1";"    2318"
"Vakantiebestemming: Nederland";"Vakantieduur: 5 tot 9 dagen";"2017*";"    4113";"    5657";"    36.0";"    30.3";"    1226"
"Vakantiebestemming: Nederland";"Vakantieduur: 5 tot 9 dagen";"2018*";"    4223";"    5730";"    36.8";"    31.1";"    1368"
"Vakantiebestemming: Nederland";"Vakantieduur: 9 tot 16 dagen";"2017*";"    1376";"    1608";"    19.2";"    17.6";"     484"
"Vakantiebestemming: Nederland";"Vakantieduur: 9 tot 16 dagen";"2018*";"    1316";"    1598";"    19.2";"    17.6";"     499"
"Vakantiebestemming: Nederland";"Vakantieduur: 16 of meer dagen";"2017*";"     870";"     990";"    30.3";"    29.4";"     407"
"Vakantiebestemming: Nederland";"Vakantieduur: 16 of meer dagen";"2018*";"     930";"    1073";"    33.6";"    32.5";"     451"
"Vakantiebestemming: Nederland";"Vervoerwijze: auto";"2017*";"    8093";"   16865";"   105.2";"    88.4";"    3054"
"Vakantiebestemming: Nederland";"Vervoerwijze: auto";"2018*";"    8101";"   16518";"   108.1";"    91.6";"    3417"
"Vakantiebestemming: Nederland";"Vervoerwijze: vliegtuig";"2017*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Vervoerwijze: vliegtuig";"2018*";"       .";"       .";"       .";"       .";"       ."
"Vakantiebestemming: Nederland";"Vervoerwijze: trein";"2017*";"     767";"    1112";"     5.0";"     3.9";"     215"
"Vakantiebestemming: Nederland";"Vervoerwijze: trein";"2018*";"     761";"    1059";"     4.5";"     3.4";"     245"
"Vakantiebestemming: Nederland";"Vervoerwijze: overige ";"2017*";"     791";"    1175";"     8.0";"     6.8";"     206"
"Vakantiebestemming: Nederland";"Vervoerwijze: overige ";"2018*";"     739";"    1136";"     7.8";"     6.7";"     228"
"Vakantiebestemming: buitenland";"Totaal vakanties";"2017*";"   10991";"   22084";"   246.5";"   224.5";"   17151"
"Vakantiebestemming: buitenland";"Totaal vakanties";"2018*";"   10942";"   22116";"   246.2";"   224.1";"   17437"
"Vakantiebestemming: buitenland";"Accommodatie: hotel, pension, B&B";"2017*";"    5936";"    9488";"    84.3";"    74.9";"    8852"
"Vakantiebestemming: buitenland";"Accommodatie: hotel, pension, B&B";"2018*";"    6059";"    9628";"    86.7";"    77.1";"    9095"
"Vakantiebestemming: buitenland";"Accommodatie: vakantiehuis, stacaravan";"2017*";"    2733";"    3705";"    44.1";"    40.4";"    2139"
"Vakantiebestemming: buitenland";"Accommodatie: vakantiehuis, stacaravan";"2018*";"    2889";"    3814";"    44.6";"    40.7";"    2191"
"Vakantiebestemming: buitenland";"Accommodatie: appartement";"2017*";"    1794";"    2182";"    23.5";"    21.3";"    1687"
"Vakantiebestemming: buitenland";"Accommodatie: appartement";"2018*";"    1836";"    2138";"    23.1";"    21.0";"    1754"
"Vakantiebestemming: buitenland";"Accommodatie: kampeerverblijf";"2017*";"    1925";"    2458";"    44.7";"    42.2";"    1684"
"Vakantiebestemming: buitenland";"Accommodatie: kampeerverblijf";"2018*";"    1893";"    2344";"    44.3";"    41.9";"    1597"
"Vakantiebestemming: buitenland";"Accommodatie: particulier (alle)";"2017*";"    2793";"    3725";"    44.5";"    40.8";"    2173"
"Vakantiebestemming: buitenland";"Accommodatie: particulier (alle)";"2018*";"    2767";"    3689";"    41.7";"    38.0";"    2152"
"Vakantiebestemming: buitenland";"Accommodatie: overig, onbekend";"2017*";"     467";"     526";"     5.4";"     4.9";"     615"
"Vakantiebestemming: buitenland";"Accommodatie: overig, onbekend";"2018*";"     431";"     504";"     5.8";"     5.3";"     647"
"Vakantiebestemming: buitenland";"Organisatie: eigen recreatieve accom.";"2017*";"     597";"    1290";"    19.4";"    18.1";"     526"
"Vakantiebestemming: buitenland";"Organisatie: eigen recreatieve accom.";"2018*";"     632";"    1202";"    17.9";"    16.7";"     528"
"Vakantiebestemming: buitenland";"Organisatie: accommodatie en vervoer";"2017*";"    5805";"    8985";"    93.3";"    84.3";"    9837"
"Vakantiebestemming: buitenland";"Organisatie: accommodatie en vervoer";"2018*";"    6065";"    9350";"    98.8";"    89.4";"   10407"
