"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"0";"T001047";"T001460";"2017JJ00";"   14084";"    83.6";"   41252";"     2.4";"     2.9";"   364.9";"    21.7";"    25.9";"     8.8";"   323.6";"    19.2";"    23.0";"     7.8";"   20637";"    1225";"    1465";"     500";"      57"
"1";"T001047";"T001460";"2018JJ00";"   14124";"    83.3";"   40854";"     2.4";"     2.9";"   366.9";"    21.6";"    26.0";"     9.0";"   326.1";"    19.2";"    23.1";"     8.0";"   21338";"    1259";"    1511";"     522";"      58"
"2";"T001047";"A046359";"2017JJ00";"    7642";"    45.4";"   14565";"     0.9";"     1.9";"   101.3";"     6.0";"    13.3";"     7.0";"    86.8";"     5.2";"    11.4";"     6.0";"    9900";"     588";"    1295";"     680";"      98"
"3";"T001047";"A046359";"2018JJ00";"    7770";"    45.8";"   14517";"     0.9";"     1.9";"   104.1";"     6.1";"    13.4";"     7.2";"    89.6";"     5.3";"    11.5";"     6.2";"   10300";"     608";"    1326";"     710";"      99"
"4";"T001047";"A046360";"2017JJ00";"    6341";"    37.7";"   11740";"     0.7";"     1.9";"    98.8";"     5.9";"    15.6";"     8.4";"    87.1";"     5.2";"    13.7";"     7.4";"    3555";"     211";"     561";"     303";"      36"
"5";"T001047";"A046360";"2018JJ00";"    6457";"    38.1";"   11696";"     0.7";"     1.8";"    99.5";"     5.9";"    15.4";"     8.5";"    87.8";"     5.2";"    13.6";"     7.5";"    3754";"     222";"     581";"     321";"      38"
"6";"T001047";"A046361";"2017JJ00";"    2004";"    11.9";"    2451";"     0.1";"     1.2";"    25.0";"     1.5";"    12.5";"    10.2";"    22.5";"     1.3";"    11.3";"     9.2";"    1762";"     105";"     879";"     719";"      70"
"7";"T001047";"A046361";"2018JJ00";"    2065";"    12.2";"    2428";"     0.1";"     1.2";"    25.0";"     1.5";"    12.1";"    10.3";"    22.5";"     1.3";"    10.9";"     9.3";"    1855";"     109";"     898";"     764";"      74"
"8";"T001047";"A046362";"2017JJ00";"    3064";"    18.2";"    5358";"     0.3";"     1.7";"    72.1";"     4.3";"    23.5";"    13.5";"    66.8";"     4.0";"    21.8";"    12.5";"    2172";"     129";"     709";"     405";"      30"
"9";"T001047";"A046362";"2018JJ00";"    3104";"    18.3";"    5226";"     0.3";"     1.7";"    74.7";"     4.4";"    24.1";"    14.3";"    69.5";"     4.1";"    22.4";"    13.3";"    2143";"     126";"     690";"     410";"      29"
"10";"T001047";"A046363";"2017JJ00";"    4017";"    23.9";"    5726";"     0.3";"     1.4";"    56.2";"     3.3";"    14.0";"     9.8";"    50.5";"     3.0";"    12.6";"     8.8";"    2497";"     148";"     622";"     436";"      44"
"11";"T001047";"A046363";"2018JJ00";"    3942";"    23.3";"    5677";"     0.3";"     1.4";"    53.3";"     3.1";"    13.5";"     9.4";"    47.6";"     2.8";"    12.1";"     8.4";"    2517";"     149";"     639";"     443";"      47"
"12";"T001047";"A046366";"2017JJ00";"     965";"     5.7";"    1412";"     0.1";"     1.5";"    11.4";"     0.7";"    11.8";"     8.1";"    10.0";"     0.6";"    10.3";"     7.1";"     752";"      45";"     780";"     533";"      66"
"13";"T001047";"A046366";"2018JJ00";"     893";"     5.3";"    1310";"     0.1";"     1.5";"    10.3";"     0.6";"    11.6";"     7.9";"     9.0";"     0.5";"    10.1";"     6.9";"     768";"      45";"     860";"     586";"      74"
"14";"T001047";"A046406";"2017JJ00";"    1681";"    10.0";"    5232";"     0.3";"     3.1";"    52.5";"     3.1";"    31.2";"    10.0";"    47.2";"     2.8";"    28.1";"     9.0";"     895";"      53";"     532";"     171";"      17"
"15";"T001047";"A046406";"2018JJ00";"    1709";"    10.1";"    4916";"     0.3";"     2.9";"    52.8";"     3.1";"    30.9";"    10.7";"    47.8";"     2.8";"    28.0";"     9.7";"     923";"      54";"     540";"     188";"      18"
"16";"T001047";"A046399";"2017JJ00";"    6023";"    35.8";"    9437";"     0.6";"     1.6";"    95.7";"     5.7";"    15.9";"    10.1";"    86.3";"     5.1";"    14.3";"     9.1";"    9973";"     592";"    1656";"    1057";"     104"
"17";"T001047";"A046399";"2018JJ00";"    6298";"    37.2";"    9822";"     0.6";"     1.6";"   101.1";"     6.0";"    16.1";"    10.3";"    91.3";"     5.4";"    14.5";"     9.3";"   10581";"     624";"    1680";"    1077";"     105"
"18";"T001047";"A046400";"2017JJ00";"    3850";"    22.9";"    4942";"     0.3";"     1.3";"    53.1";"     3.2";"    13.8";"    10.7";"    48.1";"     2.9";"    12.5";"     9.7";"    5734";"     340";"    1489";"    1160";"     108"
"19";"T001047";"A046400";"2018JJ00";"    3921";"    23.1";"    5123";"     0.3";"     1.3";"    53.5";"     3.2";"    13.7";"    10.5";"    48.4";"     2.9";"    12.3";"     9.5";"    5984";"     353";"    1526";"    1168";"     112"
"20";"T001047";"A046401";"2017JJ00";"    3080";"    18.3";"    4495";"     0.3";"     1.5";"    42.6";"     2.5";"    13.8";"     9.5";"    38.1";"     2.3";"    12.4";"     8.5";"    4240";"     252";"    1377";"     943";"      99"
"21";"T001047";"A046401";"2018JJ00";"    3309";"    19.5";"    4699";"     0.3";"     1.4";"    47.6";"     2.8";"    14.4";"    10.1";"    42.9";"     2.5";"    13.0";"     9.1";"    4597";"     271";"    1389";"     978";"      97"
"22";"T001047";"A046402";"2017JJ00";"    9129";"    54.2";"   17348";"     1.0";"     1.9";"   124.1";"     7.4";"    13.6";"     7.2";"   106.7";"     6.3";"    11.7";"     6.2";"    5898";"     350";"     646";"     340";"      48"
"23";"T001047";"A046402";"2018JJ00";"    9675";"    57.1";"   18871";"     1.1";"     2.0";"   138.2";"     8.2";"    14.3";"     7.3";"   119.3";"     7.0";"    12.3";"     6.3";"    6709";"     396";"     693";"     356";"      49"
"24";"T001047";"A046403";"2017JJ00";"    1676";"    10.0";"    2095";"     0.1";"     1.3";"    30.3";"     1.8";"    18.1";"    14.5";"    28.2";"     1.7";"    16.8";"    13.5";"    1815";"     108";"    1083";"     866";"      60"
"25";"T001047";"A046403";"2018JJ00";"    1472";"     8.7";"    1869";"     0.1";"     1.3";"    25.4";"     1.5";"    17.2";"    13.6";"    23.5";"     1.4";"    16.0";"    12.6";"    1575";"      93";"    1070";"     843";"      62"
"26";"T001047";"A046404";"2017JJ00";"    4715";"    28.0";"    7140";"     0.4";"     1.5";"    62.4";"     3.7";"    13.2";"     8.7";"    55.2";"     3.3";"    11.7";"     7.7";"    2056";"     122";"     436";"     288";"      33"
"27";"T001047";"A046404";"2018JJ00";"    3722";"    22.0";"    5375";"     0.3";"     1.4";"    49.5";"     2.9";"    13.3";"     9.2";"    44.1";"     2.6";"    11.9";"     8.2";"    1550";"      91";"     416";"     288";"      31"
"28";"T001047";"A046368";"2017JJ00";"    1362";"     8.1";"    2297";"     0.1";"     1.7";"    20.3";"     1.2";"    14.9";"     8.9";"    18.1";"     1.1";"    13.3";"     7.9";"    1459";"      87";"    1072";"     635";"      72"
"29";"T001047";"A046368";"2018JJ00";"    1547";"     9.1";"    2874";"     0.2";"     1.9";"    25.3";"     1.5";"    16.3";"     8.8";"    22.4";"     1.3";"    14.5";"     7.8";"    1993";"     118";"    1288";"     693";"      79"
"30";"T001047";"A046369";"2017JJ00";"    6146";"    36.5";"   15375";"     0.9";"     2.5";"   149.4";"     8.9";"    24.3";"     9.7";"   134.1";"     8.0";"    21.8";"     8.7";"    8815";"     523";"    1434";"     573";"      59"
"31";"T001047";"A046369";"2018JJ00";"    5820";"    34.3";"   13899";"     0.8";"     2.4";"   137.1";"     8.1";"    23.6";"     9.9";"   123.2";"     7.3";"    21.2";"     8.9";"    8132";"     480";"    1397";"     585";"      59"
"32";"T001047";"A046370";"2017JJ00";"    6239";"    37.0";"   14240";"     0.8";"     2.3";"   126.3";"     7.5";"    20.2";"     8.9";"   112.1";"     6.7";"    18.0";"     7.9";"    5258";"     312";"     843";"     369";"      42"
"33";"T001047";"A046370";"2018JJ00";"    6259";"    36.9";"   14392";"     0.8";"     2.3";"   132.1";"     7.8";"    21.1";"     9.2";"   117.7";"     6.9";"    18.8";"     8.2";"    5659";"     334";"     904";"     393";"      43"
"34";"T001047";"A046371";"2017JJ00";"    3636";"    21.6";"    5657";"     0.3";"     1.6";"    44.7";"     2.7";"    12.3";"     7.9";"    39.1";"     2.3";"    10.7";"     6.9";"    3076";"     183";"     846";"     544";"      69"
"35";"T001047";"A046371";"2018JJ00";"    3775";"    22.3";"    5784";"     0.3";"     1.5";"    46.1";"     2.7";"    12.2";"     8.0";"    40.3";"     2.4";"    10.7";"     7.0";"    3092";"     182";"     819";"     535";"      67"
"36";"T001047";"A046372";"2017JJ00";"    2322";"    13.8";"    3684";"     0.2";"     1.6";"    24.0";"     1.4";"    10.3";"     6.5";"    20.4";"     1.2";"     8.8";"     5.5";"    2028";"     120";"     873";"     550";"      84"
"37";"T001047";"A046372";"2018JJ00";"    2456";"    14.5";"    3904";"     0.2";"     1.6";"    26.3";"     1.6";"    10.7";"     6.7";"    22.4";"     1.3";"     9.1";"     5.7";"    2463";"     145";"    1003";"     631";"      94"
"38";"T001047";"A047372";"2017JJ00";"    1681";"    10.0";"    5232";"     0.3";"     3.1";"    52.5";"     3.1";"    31.2";"    10.0";"    47.2";"     2.8";"    28.1";"     9.0";"     895";"      53";"     532";"     171";"      17"
"39";"T001047";"A047372";"2018JJ00";"    1709";"    10.1";"    4916";"     0.3";"     2.9";"    52.8";"     3.1";"    30.9";"    10.7";"    47.8";"     2.8";"    28.0";"     9.7";"     923";"      54";"     540";"     188";"      18"
"40";"T001047";"A046378";"2017JJ00";"    4644";"    27.6";"    7134";"     0.4";"     1.5";"    62.4";"     3.7";"    13.4";"     8.8";"    55.3";"     3.3";"    11.9";"     7.8";"    3455";"     205";"     744";"     484";"      55"
"41";"T001047";"A046378";"2018JJ00";"    4271";"    25.2";"    6487";"     0.4";"     1.5";"    57.5";"     3.4";"    13.5";"     8.9";"    51.0";"     3.0";"    11.9";"     7.9";"    3275";"     193";"     767";"     505";"      57"
"42";"T001047";"A046384";"2017JJ00";"    3922";"    23.3";"    4841";"     0.3";"     1.2";"    57.8";"     3.4";"    14.7";"    11.9";"    52.9";"     3.1";"    13.5";"    10.9";"    3748";"     223";"     956";"     774";"      65"
"43";"T001047";"A046384";"2018JJ00";"    3914";"    23.1";"    4924";"     0.3";"     1.3";"    57.4";"     3.4";"    14.7";"    11.7";"    52.5";"     3.1";"    13.4";"    10.7";"    3897";"     230";"     996";"     791";"      68"
"44";"T001047";"A046385";"2017JJ00";"    3438";"    20.4";"    5112";"     0.3";"     1.5";"    27.5";"     1.6";"     8.0";"     5.4";"    22.4";"     1.3";"     6.5";"     4.4";"    2447";"     145";"     712";"     479";"      89"
"45";"T001047";"A046385";"2018JJ00";"    3449";"    20.3";"    4975";"     0.3";"     1.4";"    27.6";"     1.6";"     8.0";"     5.6";"    22.7";"     1.3";"     6.6";"     4.6";"    2519";"     149";"     730";"     506";"      91"
"46";"T001047";"A046386";"2017JJ00";"    2015";"    12.0";"    2577";"     0.2";"     1.3";"    27.7";"     1.6";"    13.7";"    10.7";"    25.1";"     1.5";"    12.5";"     9.7";"    1487";"      88";"     738";"     577";"      54"
"47";"T001047";"A046386";"2018JJ00";"    1946";"    11.5";"    2479";"     0.1";"     1.3";"    25.5";"     1.5";"    13.1";"    10.3";"    23.0";"     1.4";"    11.8";"     9.3";"    1355";"      80";"     696";"     546";"      53"
"48";"T001047";"A046387";"2017JJ00";"    1865";"    11.1";"    2332";"     0.1";"     1.3";"    16.9";"     1.0";"     9.1";"     7.2";"    14.6";"     0.9";"     7.8";"     6.2";"    1269";"      75";"     681";"     544";"      75"
"49";"T001047";"A046387";"2018JJ00";"    1943";"    11.5";"    2470";"     0.1";"     1.3";"    16.6";"     1.0";"     8.6";"     6.7";"    14.1";"     0.8";"     7.3";"     5.7";"    1248";"      74";"     643";"     505";"      75"
"50";"T001047";"A046388";"2017JJ00";"    1463";"     8.7";"    1742";"     0.1";"     1.2";"     8.1";"     0.5";"     5.5";"     4.6";"     6.3";"     0.4";"     4.3";"     3.6";"     507";"      30";"     347";"     291";"      63"
"51";"T001047";"A046388";"2018JJ00";"    1360";"     8.0";"    1596";"     0.1";"     1.2";"     9.0";"     0.5";"     6.6";"     5.6";"     7.4";"     0.4";"     5.4";"     4.6";"     582";"      34";"     428";"     365";"      65"
"52";"T001047";"A046389";"2017JJ00";"    1495";"     8.9";"    1683";"     0.1";"     1.1";"    30.2";"     1.8";"    20.2";"    18.0";"    28.6";"     1.7";"    19.1";"    17.0";"    3005";"     178";"    2010";"    1786";"      99"
"53";"T001047";"A046389";"2018JJ00";"    1618";"     9.5";"    1803";"     0.1";"     1.1";"    32.6";"     1.9";"    20.2";"    18.1";"    30.8";"     1.8";"    19.0";"    17.1";"    3130";"     185";"    1934";"    1736";"      96"
"54";"T001047";"A046390";"2017JJ00";"    4544";"    27.0";"    6363";"     0.4";"     1.4";"    47.2";"     2.8";"    10.4";"     7.4";"    40.8";"     2.4";"     9.0";"     6.4";"    2028";"     120";"     446";"     319";"      43"
"55";"T001047";"A046390";"2018JJ00";"    3610";"    21.3";"    5008";"     0.3";"     1.4";"    35.6";"     2.1";"     9.9";"     7.1";"    30.6";"     1.8";"     8.5";"     6.1";"    1707";"     101";"     473";"     341";"      48"
"56";"T001047";"A046391";"2017JJ00";"    3331";"    19.8";"    4237";"     0.3";"     1.3";"    34.7";"     2.1";"    10.4";"     8.2";"    30.4";"     1.8";"     9.1";"     7.2";"    1795";"     107";"     539";"     424";"      52"
"57";"T001047";"A046391";"2018JJ00";"    4445";"    26.2";"    6197";"     0.4";"     1.4";"    52.4";"     3.1";"    11.8";"     8.5";"    46.2";"     2.7";"    10.4";"     7.5";"    2702";"     159";"     608";"     436";"      52"
"58";"T001047";"A046393";"2017JJ00";"    7552";"    44.8";"   15499";"     0.9";"     2.1";"    48.1";"     2.9";"     6.4";"     3.1";"    32.6";"     1.9";"     4.3";"     2.1";"    2812";"     167";"     372";"     181";"      58"
"59";"T001047";"A046393";"2018JJ00";"    7511";"    44.3";"   14839";"     0.9";"     2.0";"    46.1";"     2.7";"     6.1";"     3.1";"    31.3";"     1.8";"     4.2";"     2.1";"    3039";"     179";"     405";"     205";"      66"
"60";"T001047";"A046394";"2017JJ00";"   12922";"    76.7";"   25754";"     1.5";"     2.0";"   316.8";"    18.8";"    24.5";"    12.3";"   291.1";"    17.3";"    22.5";"    11.3";"   17825";"    1058";"    1379";"     692";"      56"
"61";"T001047";"A046394";"2018JJ00";"   12961";"    76.5";"   26015";"     1.5";"     2.0";"   320.8";"    18.9";"    24.7";"    12.3";"   294.8";"    17.4";"    22.7";"    11.3";"   18299";"    1080";"    1412";"     703";"      57"
"62";"T001047";"A046395";"2017JJ00";"    8093";"    48.1";"   12552";"     0.7";"     1.6";"    82.7";"     4.9";"    10.2";"     6.6";"    70.1";"     4.2";"     8.7";"     5.6";"    5040";"     299";"     623";"     402";"      61"
"63";"T001047";"A046395";"2018JJ00";"    8262";"    48.7";"   12657";"     0.7";"     1.5";"    83.6";"     4.9";"    10.1";"     6.6";"    71.0";"     4.2";"     8.6";"     5.6";"    5291";"     312";"     640";"     418";"      63"
"64";"T001047";"A046396";"2017JJ00";"    6001";"    35.6";"    7505";"     0.4";"     1.3";"    89.4";"     5.3";"    14.9";"    11.9";"    81.9";"     4.9";"    13.7";"    10.9";"    5842";"     347";"     974";"     778";"      65"
"65";"T001047";"A046396";"2018JJ00";"    6025";"    35.5";"    7625";"     0.4";"     1.3";"    90.3";"     5.3";"    15.0";"    11.8";"    82.6";"     4.9";"    13.7";"    10.8";"    5925";"     350";"     983";"     777";"      66"
"66";"T001047";"A046397";"2017JJ00";"    4897";"    29.1";"    5697";"     0.3";"     1.2";"   144.7";"     8.6";"    29.5";"    25.4";"   139.0";"     8.3";"    28.4";"    24.4";"    6942";"     412";"    1418";"    1219";"      48"
"67";"T001047";"A046397";"2018JJ00";"    4859";"    28.7";"    5732";"     0.3";"     1.2";"   146.9";"     8.7";"    30.2";"    25.6";"   141.1";"     8.3";"    29.0";"    24.6";"    7084";"     418";"    1458";"    1236";"      48"
"68";"T001047";"A047150";"2017JJ00";"   11152";"    66.2";"   26920";"     1.6";"     2.4";"   208.9";"    12.4";"    18.7";"     7.8";"   181.9";"    10.8";"    16.3";"     6.8";"    7795";"     463";"     699";"     290";"      37"
"69";"T001047";"A047150";"2018JJ00";"   11210";"    66.1";"   26390";"     1.6";"     2.4";"   209.3";"    12.3";"    18.7";"     7.9";"   182.9";"    10.8";"    16.3";"     6.9";"    8085";"     477";"     721";"     306";"      39"
"70";"T001047";"A047151";"2017JJ00";"    6351";"    37.7";"   10114";"     0.6";"     1.6";"   125.5";"     7.5";"    19.8";"    12.4";"   115.4";"     6.9";"    18.2";"    11.4";"   11203";"     665";"    1764";"    1108";"      89"
"71";"T001047";"A047151";"2018JJ00";"    6490";"    38.3";"   10322";"     0.6";"     1.6";"   127.5";"     7.5";"    19.6";"    12.4";"   117.2";"     6.9";"    18.1";"    11.4";"   11455";"     676";"    1765";"    1110";"      90"
"72";"T001047";"A018981";"2017JJ00";"    1223";"     7.3";"    1742";"     0.1";"     1.4";"     8.8";"     0.5";"     7.2";"     5.1";"     7.1";"     0.4";"     5.8";"     4.1";"     558";"      33";"     457";"     320";"      63"
"73";"T001047";"A018981";"2018JJ00";"    1221";"     7.2";"    1705";"     0.1";"     1.4";"     9.0";"     0.5";"     7.4";"     5.3";"     7.3";"     0.4";"     6.0";"     4.3";"     632";"      37";"     518";"     371";"      70"
"74";"T001047";"A047152";"2017JJ00";"    1715";"    10.2";"    2476";"     0.1";"     1.4";"    21.7";"     1.3";"    12.7";"     8.8";"    19.2";"     1.1";"    11.2";"     7.8";"    1080";"      64";"     630";"     436";"      50"
"75";"T001047";"A047152";"2018JJ00";"    1598";"     9.4";"    2436";"     0.1";"     1.5";"    21.1";"     1.2";"    13.2";"     8.7";"    18.7";"     1.1";"    11.7";"     7.7";"    1166";"      69";"     730";"     479";"      55"
"76";"L008691";"T001460";"2017JJ00";"    8786";"    52.2";"   19168";"     1.1";"     2.2";"   118.3";"     7.0";"    13.5";"     6.2";"    99.2";"     5.9";"    11.3";"     5.2";"    3486";"     207";"     397";"     182";"      29"
"77";"L008691";"T001460";"2018JJ00";"    8855";"    52.2";"   18738";"     1.1";"     2.1";"   120.7";"     7.1";"    13.6";"     6.4";"   102.0";"     6.0";"    11.5";"     5.4";"    3902";"     230";"     441";"     208";"      32"
"78";"L008691";"A046359";"2017JJ00";"    3330";"    19.8";"    5077";"     0.3";"     1.5";"    17.0";"     1.0";"     5.1";"     3.3";"    11.9";"     0.7";"     3.6";"     2.3";"    1047";"      62";"     314";"     206";"      62"
"79";"L008691";"A046359";"2018JJ00";"    3217";"    19.0";"    4889";"     0.3";"     1.5";"    17.4";"     1.0";"     5.4";"     3.6";"    12.5";"     0.7";"     3.9";"     2.6";"    1205";"      71";"     375";"     247";"      69"
"80";"L008691";"A046360";"2017JJ00";"    4462";"    26.5";"    8035";"     0.5";"     1.8";"    54.7";"     3.2";"    12.3";"     6.8";"    46.6";"     2.8";"    10.5";"     5.8";"    1416";"      84";"     317";"     176";"      26"
"81";"L008691";"A046360";"2018JJ00";"    4477";"    26.4";"    7882";"     0.5";"     1.8";"    55.0";"     3.2";"    12.3";"     7.0";"    47.1";"     2.8";"    10.5";"     6.0";"    1563";"      92";"     349";"     198";"      28"
"82";"L008691";"A046361";"2017JJ00";"     260";"     1.5";"     269";"     0.0";"     1.0";"     1.5";"     0.1";"     5.9";"     5.7";"     1.3";"     0.1";"     4.9";"     4.7";"      75";"       4";"     287";"     278";"      49"
"83";"L008691";"A046361";"2018JJ00";"     273";"     1.6";"     290";"     0.0";"     1.1";"     1.8";"     0.1";"     6.8";"     6.3";"     1.6";"     0.1";"     5.7";"     5.3";"     101";"       6";"     370";"     347";"      55"
"84";"L008691";"A046362";"2017JJ00";"    1694";"    10.1";"    2900";"     0.2";"     1.7";"    27.4";"     1.6";"    16.2";"     9.5";"    24.5";"     1.5";"    14.5";"     8.5";"     487";"      29";"     288";"     168";"      18"
"85";"L008691";"A046362";"2018JJ00";"    1756";"    10.4";"    2882";"     0.2";"     1.6";"    30.4";"     1.8";"    17.3";"    10.6";"    27.5";"     1.6";"    15.7";"     9.6";"     546";"      32";"     311";"     189";"      18"
"86";"L008691";"A046363";"2017JJ00";"    1489";"     8.8";"    2001";"     0.1";"     1.3";"    11.7";"     0.7";"     7.9";"     5.9";"     9.7";"     0.6";"     6.5";"     4.9";"     324";"      19";"     218";"     162";"      28"
"87";"L008691";"A046363";"2018JJ00";"    1500";"     8.9";"    1988";"     0.1";"     1.3";"    11.6";"     0.7";"     7.7";"     5.8";"     9.6";"     0.6";"     6.4";"     4.8";"     366";"      22";"     244";"     184";"      32"
"88";"L008691";"A046366";"2017JJ00";"     527";"     3.1";"     886";"     0.1";"     1.7";"     6.0";"     0.4";"    11.4";"     6.7";"     5.1";"     0.3";"     9.7";"     5.7";"     137";"       8";"     260";"     155";"      23"
"89";"L008691";"A046366";"2018JJ00";"     494";"     2.9";"     806";"     0.0";"     1.6";"     4.5";"     0.3";"     9.1";"     5.6";"     3.7";"     0.2";"     7.5";"     4.6";"     121";"       7";"     244";"     150";"      27"
"90";"L008691";"A046406";"2017JJ00";"    1177";"     7.0";"    3943";"     0.2";"     3.3";"    33.1";"     2.0";"    28.1";"     8.4";"    29.1";"     1.7";"    24.7";"     7.4";"     369";"      22";"     313";"      94";"      11"
"91";"L008691";"A046406";"2018JJ00";"    1181";"     7.0";"    3715";"     0.2";"     3.1";"    34.9";"     2.1";"    29.5";"     9.4";"    31.1";"     1.8";"    26.4";"     8.4";"     396";"      23";"     335";"     107";"      11"
"92";"L008691";"A046399";"2017JJ00";"     390";"     2.3";"     452";"     0.0";"     1.2";"     2.4";"     0.1";"     6.3";"     5.4";"     2.0";"     0.1";"     5.1";"     4.4";"     136";"       8";"     350";"     302";"      56"
"93";"L008691";"A046399";"2018JJ00";"     389";"     2.3";"     472";"     0.0";"     1.2";"     2.3";"     0.1";"     6.0";"     4.9";"     1.9";"     0.1";"     4.8";"     3.9";"     174";"      10";"     449";"     370";"      75"
"94";"L008691";"A046400";"2017JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"95";"L008691";"A046400";"2018JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"96";"L008691";"A046401";"2017JJ00";"     247";"     1.5";"     297";"     0.0";"     1.2";"     1.6";"     0.1";"     6.4";"     5.3";"     1.3";"     0.1";"     5.2";"     4.3";"      74";"       4";"     299";"     248";"      47"
"97";"L008691";"A046401";"2018JJ00";"     301";"     1.8";"     346";"     0.0";"     1.1";"     1.8";"     0.1";"     6.1";"     5.3";"     1.5";"     0.1";"     4.9";"     4.3";"     122";"       7";"     405";"     352";"      67"
"98";"L008691";"A046402";"2017JJ00";"    6224";"    37.0";"   10218";"     0.6";"     1.6";"    54.8";"     3.3";"     8.8";"     5.4";"    44.6";"     2.6";"     7.2";"     4.4";"    2190";"     130";"     352";"     214";"      40"
"99";"L008691";"A046402";"2018JJ00";"    6761";"    39.9";"   11263";"     0.7";"     1.7";"    63.5";"     3.7";"     9.4";"     5.6";"    52.3";"     3.1";"     7.7";"     4.6";"    2714";"     160";"     401";"     241";"      43"
"100";"L008691";"A046403";"2017JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"101";"L008691";"A046403";"2018JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"102";"L008691";"A046404";"2017JJ00";"    3132";"    18.6";"    4440";"     0.3";"     1.4";"    27.4";"     1.6";"     8.7";"     6.2";"    23.0";"     1.4";"     7.3";"     5.2";"     765";"      45";"     244";"     172";"      28"
"103";"L008691";"A046404";"2018JJ00";"    2286";"    13.5";"    3144";"     0.2";"     1.4";"    19.1";"     1.1";"     8.4";"     6.1";"    16.0";"     0.9";"     7.0";"     5.1";"     578";"      34";"     253";"     184";"      30"
"104";"L008691";"A046368";"2017JJ00";"     608";"     3.6";"    1001";"     0.1";"     1.6";"     5.3";"     0.3";"     8.8";"     5.3";"     4.3";"     0.3";"     7.1";"     4.3";"     173";"      10";"     284";"     173";"      32"
"105";"L008691";"A046368";"2018JJ00";"     626";"     3.7";"    1276";"     0.1";"     2.0";"     6.9";"     0.4";"    11.1";"     5.4";"     5.7";"     0.3";"     9.1";"     4.4";"     265";"      16";"     424";"     208";"      38"
"106";"L008691";"A046369";"2017JJ00";"    3613";"    21.5";"    7451";"     0.4";"     2.1";"    51.2";"     3.0";"    14.2";"     6.9";"    43.7";"     2.6";"    12.1";"     5.9";"    1511";"      90";"     418";"     203";"      30"
"107";"L008691";"A046369";"2018JJ00";"    3339";"    19.7";"    6674";"     0.4";"     2.0";"    46.9";"     2.8";"    14.1";"     7.0";"    40.3";"     2.4";"    12.1";"     6.0";"    1558";"      92";"     467";"     233";"      33"
"108";"L008691";"A046370";"2017JJ00";"    3903";"    23.2";"    7132";"     0.4";"     1.8";"    44.3";"     2.6";"    11.3";"     6.2";"    37.1";"     2.2";"     9.5";"     5.2";"    1111";"      66";"     285";"     156";"      25"
"109";"L008691";"A046370";"2018JJ00";"    4004";"    23.6";"    7137";"     0.4";"     1.8";"    48.1";"     2.8";"    12.0";"     6.7";"    41.0";"     2.4";"    10.2";"     5.7";"    1225";"      72";"     306";"     172";"      25"
"110";"L008691";"A046371";"2017JJ00";"    1649";"     9.8";"    2287";"     0.1";"     1.4";"    12.2";"     0.7";"     7.4";"     5.3";"     9.9";"     0.6";"     6.0";"     4.3";"     454";"      27";"     275";"     199";"      37"
"111";"L008691";"A046371";"2018JJ00";"    1701";"    10.0";"    2315";"     0.1";"     1.4";"    12.9";"     0.8";"     7.6";"     5.6";"    10.6";"     0.6";"     6.2";"     4.6";"     503";"      30";"     296";"     217";"      39"
