"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"319";"A045879";"A046406";"2018JJ00";"     947";"     5.6";"    1977";"     0.1";"     2.1";"    17.8";"     1.0";"    18.8";"     9.0";"    15.8";"     0.9";"    16.7";"     8.0";"     321";"      19";"     339";"     162";"      18"
"320";"A045879";"A046399";"2017JJ00";"    3283";"    19.5";"    4283";"     0.3";"     1.3";"    39.7";"     2.4";"    12.1";"     9.3";"    35.4";"     2.1";"    10.8";"     8.3";"    4292";"     255";"    1307";"    1002";"     108"
"321";"A045879";"A046399";"2018JJ00";"    3189";"    18.8";"    4111";"     0.2";"     1.3";"    39.2";"     2.3";"    12.3";"     9.5";"    35.1";"     2.1";"    11.0";"     8.5";"    4259";"     251";"    1335";"    1036";"     109"
"322";"A045879";"A046400";"2017JJ00";"    1801";"    10.7";"    2089";"     0.1";"     1.2";"    20.9";"     1.2";"    11.6";"    10.0";"    18.9";"     1.1";"    10.5";"     9.0";"    2393";"     142";"    1329";"    1145";"     114"
"323";"A045879";"A046400";"2018JJ00";"    1724";"    10.2";"    2008";"     0.1";"     1.2";"    20.0";"     1.2";"    11.6";"    10.0";"    18.0";"     1.1";"    10.4";"     9.0";"    2273";"     134";"    1319";"    1132";"     114"
"324";"A045879";"A046401";"2017JJ00";"    1764";"    10.5";"    2194";"     0.1";"     1.2";"    18.8";"     1.1";"    10.6";"     8.6";"    16.6";"     1.0";"     9.4";"     7.6";"    1899";"     113";"    1076";"     865";"     101"
"325";"A045879";"A046401";"2018JJ00";"    1715";"    10.1";"    2103";"     0.1";"     1.2";"    19.2";"     1.1";"    11.2";"     9.1";"    17.1";"     1.0";"    10.0";"     8.1";"    1985";"     117";"    1158";"     944";"     103"
"326";"A045879";"A046402";"2017JJ00";"    5193";"    30.8";"    7326";"     0.4";"     1.4";"    36.3";"     2.2";"     7.0";"     4.9";"    28.9";"     1.7";"     5.6";"     3.9";"    2020";"     120";"     389";"     276";"      56"
"327";"A045879";"A046402";"2018JJ00";"    5439";"    32.1";"    7754";"     0.5";"     1.4";"    40.8";"     2.4";"     7.5";"     5.3";"    33.1";"     2.0";"     6.1";"     4.3";"    2311";"     136";"     425";"     298";"      57"
"328";"A045879";"A046403";"2017JJ00";"     832";"     4.9";"     963";"     0.1";"     1.2";"    13.5";"     0.8";"    16.2";"    14.0";"    12.5";"     0.7";"    15.1";"    13.0";"     821";"      49";"     988";"     853";"      61"
"329";"A045879";"A046403";"2018JJ00";"     722";"     4.3";"     829";"     0.0";"     1.1";"    10.7";"     0.6";"    14.8";"    12.9";"     9.9";"     0.6";"    13.7";"    11.9";"     680";"      40";"     942";"     821";"      64"
"330";"A045879";"A046404";"2017JJ00";"    2363";"    14.0";"    3023";"     0.2";"     1.3";"    19.8";"     1.2";"     8.4";"     6.5";"    16.8";"     1.0";"     7.1";"     5.5";"     639";"      38";"     270";"     211";"      32"
"331";"A045879";"A046404";"2018JJ00";"    1758";"    10.4";"    2223";"     0.1";"     1.3";"    14.9";"     0.9";"     8.5";"     6.7";"    12.6";"     0.7";"     7.2";"     5.7";"     457";"      27";"     260";"     205";"      31"
"332";"A045879";"A046368";"2017JJ00";"     823";"     4.9";"    1174";"     0.1";"     1.4";"    10.3";"     0.6";"    12.5";"     8.8";"     9.1";"     0.5";"    11.1";"     7.8";"     728";"      43";"     885";"     621";"      71"
"333";"A045879";"A046368";"2018JJ00";"     892";"     5.3";"    1396";"     0.1";"     1.6";"    12.0";"     0.7";"    13.5";"     8.6";"    10.6";"     0.6";"    11.9";"     7.6";"     990";"      58";"    1110";"     709";"      82"
"334";"A045879";"A046369";"2017JJ00";"    3813";"    22.6";"    6523";"     0.4";"     1.7";"    53.4";"     3.2";"    14.0";"     8.2";"    46.9";"     2.8";"    12.3";"     7.2";"    3532";"     210";"     926";"     542";"      66"
